"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,10,163670498,33841773
2020,18,163670538,33838019
2020,12,163670602,33841796
2020,12,163673569,33838039
2020,3,163670636,33838045
2020,12,163670644,33838050
2020,12,163670730,33841820
2020,12,163670769,33838082
2020,18,163670940,33838115
2020,9,163673842,33838117
2020,12,163673848,33841863
2020,3,162547251,33567653
2020,12,162547688,33567760
2020,20,162543325,33567837
2020,12,162543705,33563398
2020,12,162548500,33567960
2020,18,162548935,33563522
2020,19,162548987,33568098
2020,18,162550069,33568371
2020,10,162550141,33568387
2020,9,162549029,33568110
2020,12,162549048,33563545
2020,19,162545172,33563802
2020,19,162550558,33568492
2020,12,162545314,33568464
2020,19,162550607,33568506
2020,19,162545468,33563881
2020,2,162545625,33568566
2020,19,162551160,33568635
2020,12,162551318,33564020
2020,22,162551434,33568713
2020,19,162551480,33564055
2020,12,162557059,33564246
2020,19,162557175,33564275
2020,12,162557315,33564316
2020,12,162557500,33564365
2020,10,162557815,33564455
2020,3,162557907,33569257
2020,11,162553837,33569285
2020,12,162554314,33569392
2020,12,162554409,33569416
2020,22,162558547,33564634
2020,18,162558714,33564681
2020,12,162558778,33564698
2020,18,162555067,33569563
2020,18,162559023,33569599
2020,12,162559025,33569600
2020,10,162559064,33564774
2020,20,162474889,33548632
2020,12,162474968,33548646
2020,12,162474971,33548647
2020,9,162474991,33548653
2020,12,162474998,33548656
2020,12,162475104,33548682
2020,19,162478645,33540993
2020,19,162475136,33548691
2020,2,162475238,33541019
2020,12,162475299,33548722
2020,18,162475283,33548717
2020,3,162475306,33541029
2020,12,162475316,33548724
2020,12,162475403,33541048
2020,10,162478971,33548736
2020,19,162479042,33541071
2020,3,162479032,33541070
2020,12,162479062,33548745
2020,12,162475498,33541074
2020,12,162475554,33548753
2020,12,162479247,33541096
2020,12,162479293,33541103
2020,19,162479342,33541118
2020,18,162475820,33541116
2020,2,162475910,33548810
2020,12,162479411,33541129
