"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,139128010,153201014
2020,139128010,153195441
2020,148399746,162523672
2020,148399746,162521021
2020,148399876,162526193
2020,148397113,162523764
2020,148399910,162523763
2020,148399910,162521108
2020,148397328,162523945
2020,148397349,162523957
2020,148400013,162523958
2020,148400165,162524135
2020,148397664,162526732
2020,148400286,162524277
2020,148400322,162526915
2020,148400407,162527043
2020,148400412,162524371
2020,148400480,162527153
2020,148400481,162527153
2020,148400481,162527154
2020,148400535,162527220
2020,148400535,162527221
2020,148400571,162527287
2020,148400577,162527266
2020,148403247,162527315
2020,148400797,162524818
2020,148400830,162524845
2020,148400935,162527785
2020,148400939,162527785
2020,148400933,162527785
2020,148400936,162527787
2020,148400952,162524973
2020,148400955,162524978
2020,148403724,162527903
2020,148403823,162527993
2020,148403835,162525037
2020,148403835,162525039
2020,148403877,162528061
2020,148403895,162525165
2020,148403900,162525098
2020,134469686,148252722
2020,148401151,162525211
2020,148403993,162528186
2020,134469903,148252857
2020,134469940,148258382
2020,148404026,162528190
2020,148401249,162525314
2020,148401249,162525313
2020,148401270,162525338
2020,148401237,162525304
2020,148401426,162528481
2020,134470176,148249751
2020,148401600,162528711
2020,134460399,148258817
2020,148404478,162525679
2020,148404520,162528724
2020,134470288,148249869
2020,148404551,162525709
2020,148401653,162525748
2020,148404615,162525772
2020,148401730,162528892
2020,148401746,162525835
2020,148404715,162528964
2020,148404872,162526020
2020,148401988,162526077
2020,148405146,162531200
2020,148402130,162529400
2020,148402153,162529444
2020,148402107,162529395
2020,148402199,162529493
2020,148405252,162529520
2020,148405300,162531362
2020,148405338,162529479
2020,148405335,162529479
2020,148405335,162529481
2020,148405374,162531425
2020,148402320,162529561
2020,148402315,162529563
2020,134464904,148249852
2020,134464905,148249852
2020,134464911,148253161
2020,134459379,148252633
2020,134459381,148252633
2020,134464395,148257808
2020,134459443,148257808
2020,134464395,148257809
2020,134459653,148258056
2020,134469861,148249439
2020,134464337,148252596
2020,134464489,148257987
2020,134464489,148257985
2020,134464491,148252719
2020,134464492,148252719
2020,134469558,148249142
2020,134469558,148249141
2020,134469668,148257952
2020,134469668,148257951
2020,134469668,148257953
2020,134469368,148252481
2020,134459658,148258065
2020,134469778,148249359
2020,134469838,148249415
2020,134469871,148258253
2020,134469540,148249124
2020,134459510,148249218
2020,134469657,148257934
2020,134469667,148257954
2020,134469351,148248939
2020,134469591,148249180
2020,134469788,148258122
2020,134469788,148258121
2020,134278084,148052754
2020,134278084,148044847
2020,134271546,148053066
2020,134271546,148045033
2020,134271574,148048502
2020,133543030,147385935
2020,133543094,147387283
2020,133543289,147380355
2020,133521782,147369303
2020,133522189,147369740
2020,133538575,147377222
2020,133529555,147377222
2020,133538706,147373446
2020,133539055,147377390
2020,133543055,147385969
2020,133537885,147380280
2020,134267529,148053415
2020,134267539,148048613
2020,134271777,148053451
2020,134267569,148053451
2020,134271776,148053450
