"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,134270689,4
2020,134266046,5
2020,134277746,5
2020,134267014,4
2020,134271447,5
2020,134271526,4
2020,134267216,4
2020,134774197,4
2020,134774134,6
2020,134774269,5
2020,134779063,4
2020,134774314,5
2020,134774318,4
2020,134774334,4
2020,134774335,5
2020,134774349,4
2020,134774361,5
2020,134774362,5
2020,134774366,5
2020,134774372,5
2020,139128045,5
2020,134277569,6
2020,134271298,4
2020,134278401,5
2020,134272127,5
2020,134291953,5
2020,134298745,5
2020,134266079,5
2020,134266080,5
2020,134270834,6
2020,134266745,4
2020,134267389,5
2020,134288504,4
2020,134280479,4
2020,134280753,4
2020,134291712,4
2020,134291936,5
2020,134292098,5
2020,134292151,4
2020,134470153,5
2020,134460380,4
2020,134460379,5
2020,134460381,5
2020,134460487,5
2020,148379424,4
2020,148379425,5
2020,148393478,5
2020,148375451,5
2020,148375482,5
2020,148375477,5
2020,148395450,4
2020,148379638,4
2020,148379984,5
2020,148375848,4
2020,148380180,4
2020,148380275,5
2020,148380682,5
2020,148376308,4
2020,148380681,5
2020,148380950,4
2020,148381012,4
2020,148381011,5
2020,148381277,4
2020,148381294,4
2020,148381343,5
2020,148381327,5
2020,148376857,5
2020,148381342,5
2020,148381961,5
2020,148377597,5
2020,148382457,5
2020,148383170,4
2020,148383180,5
2020,148383328,5
2020,148388291,5
2020,148383748,4
2020,148388981,4
2020,148389235,5
2020,148384038,5
2020,148389701,4
2020,148389682,4
2020,148389765,5
2020,148389952,3
2020,148385164,5
2020,148385171,5
2020,148391035,4
2020,148391046,5
2020,148391022,4
2020,148385579,5
2020,148385633,5
2020,148391597,5
2020,148391950,4
2020,148386151,5
2020,148392352,5
2020,148392346,4
2020,148392342,5
2020,148393431,5
2020,148394266,5
2020,148394283,5
2020,148394250,5
2020,148394257,5
2020,148394268,5
2020,148387841,4
2020,148398353,4
2020,148398538,5
2020,148395452,4
2020,148398722,4
2020,148395547,5
2020,148395608,4
2020,148396067,5
2020,148399227,4
2020,148399733,4
2020,148396967,4
2020,148397035,4
2020,148400020,4
2020,148397687,5
2020,148400619,5
2020,148403325,4
2020,148400733,5
2020,148403781,4
2020,148401966,4
2020,148405048,5
2020,148405222,4
2020,148405298,5
2020,148405501,4
2020,148402594,5
2020,148405871,5
2020,134288485,4
2020,134459582,5
2020,134460483,5
2020,134460538,4
2020,134465012,5
2020,134460609,4
2020,134460610,4
2020,134470395,6
2020,134460612,5
2020,134470408,5
2020,134460627,4
2020,134460628,5
2020,134460631,4
2020,134460635,5
2020,134470419,4
2020,134460636,4
2020,134460645,5
2020,134460655,5
2020,134470450,5
2020,134460662,5
2020,134460670,4
2020,134470460,4
2020,134470461,4
2020,134460688,4
2020,134460689,5
2020,134460697,5
2020,134460702,5
2020,134460704,4
2020,134470499,5
2020,134460706,5
2020,134460712,4
2020,134771698,4
2020,134778969,5
2020,134771834,4
2020,134779154,4
2020,134771843,4
2020,139127992,5
2020,148379431,4
2020,148379545,5
2020,148379609,4
2020,148375843,5
2020,148375840,4
2020,148380306,5
2020,148380303,5
2020,148376037,5
2020,148380292,5
2020,148380348,5
2020,148376223,4
2020,148380999,5
2020,148377093,5
2020,148381681,5
2020,148377237,5
2020,148377429,5
2020,148382223,5
2020,148388008,7
2020,148388444,5
2020,148384485,5
2020,148384579,4
2020,148384978,4
2020,148390730,5
2020,148390724,5
2020,148390900,5
2020,148391492,3
2020,148386049,4
2020,148386137,4
2020,148392161,4
2020,148392817,6
2020,148392904,4
2020,148392939,4
2020,148393544,4
2020,148387496,4
2020,148393848,4
2020,148393897,5
2020,148394428,6
2020,148398006,4
2020,148398062,4
2020,148398043,4
2020,148398267,4
2020,148394990,5
2020,148395244,4
2020,148398672,5
2020,148395570,5
2020,148395940,4
2020,148399117,5
2020,148399195,5
2020,148399247,4
2020,148396154,4
2020,148399271,4
2020,148396514,4
2020,148399536,2
2020,148397110,5
2020,148399987,4
2020,148400096,5
2020,148397505,5
2020,148400161,4
2020,148400404,4
2020,148403132,4
2020,148400569,4
2020,148400556,4
2020,148403144,5
2020,148400758,4
2020,148403526,4
2020,148400934,5
2020,148401404,5
2020,148401840,5
2020,148404848,4
2020,148405411,4
2020,148405539,6
2020,148402568,5
2020,148405677,5
2020,148402773,5
2020,148402794,4
2020,148408052,5
2020,148406273,4
2020,148408244,4
2020,148406571,5
2020,148406575,5
2020,148408424,5
2020,148408436,4
2020,148406679,5
2020,148406768,4
2020,148406811,5
2020,148406814,5
2020,148408601,5
2020,148406876,4
2020,148406925,4
2020,148406929,4
2020,148408628,5
2020,148408831,3
2020,148408926,6
2020,148409101,5
2020,148409111,5
2020,148409207,5
2020,148409203,5
2020,148407685,5
2020,148409255,5
2020,148409289,5
2020,148407877,4
2020,148409317,4
2020,148412905,4
2020,148409604,5
2020,148409620,4
2020,148413367,4
2020,148413420,5
2020,148413551,5
2020,148413797,4
2020,148410216,5
2020,148414052,5
2020,148414173,5
2020,148414274,5
2020,148414326,5
2020,148414552,4
2020,148410729,5
2020,148410936,4
2020,148415297,5
2020,148415479,3
2020,148415638,5
2020,148411600,5
2020,148411741,5
2020,148415903,5
2020,148416160,6
2020,148416187,4
2020,148416679,5
2020,148416676,4
2020,148412354,5
2020,148416736,5
2020,148412379,5
2020,148416924,4
2020,148417187,4
2020,148412827,5
2020,148433635,5
2020,148425973,4
2020,148412842,5
2020,148417326,4
2020,148417546,4
2020,148418096,5
2020,148418188,5
2020,148426010,4
2020,148417747,5
2020,148417745,5
2020,148423320,5
2020,148418718,4
2020,148423546,6
2020,148427138,5
2020,148424136,5
2020,148424347,5
2020,148424439,5
2020,148420509,4
2020,148425588,5
2020,148425582,5
2020,148425585,5
2020,148420515,5
2020,148426220,5
2020,148426226,5
2020,148426331,5
2020,148426455,5
2020,148428110,5
2020,148421281,4
2020,148427140,5
2020,148427144,5
2020,148432909,5
2020,148427149,5
2020,148427135,5
2020,148427268,5
2020,148422127,5
2020,148422259,4
2020,148422265,5
2020,148428112,5
2020,148422646,4
2020,148433247,5
2020,148433245,4
2020,148433250,5
2020,148433637,5
2020,148429895,4
2020,148429903,4
2020,148429926,5
2020,148434013,1
2020,148430073,4
2020,148430116,6
2020,148430159,4
2020,138293571,5
2020,148428934,5
2020,148429047,5
2020,148429345,4
2020,148429456,6
2020,148429497,4
2020,148429877,5
2020,148434052,5
2020,148430460,5
2020,148430453,5
2020,148430459,5
2020,148430455,5
2020,148430510,5
2020,138933121,4
2020,138933240,4
2020,138923126,5
2020,138923569,4
2020,139125293,4
2020,139125295,4
2020,138923061,4
2020,148393123,5
2020,148393185,5
2020,148393398,5
2020,148387254,4
2020,148387260,4
2020,148387269,4
2020,148387332,5
2020,148393555,5
2020,148393554,5
2020,148393558,5
2020,148393857,6
2020,148393959,5
2020,148394534,4
2020,148398149,4
2020,148398210,4
2020,148394725,5
2020,148395016,5
2020,148398462,5
2020,148398494,5
2020,148398817,5
2020,148398895,4
2020,148395814,1
2020,148398963,4
2020,148399019,4
2020,148396056,4
2020,148396289,3
2020,148396796,4
2020,148396938,4
2020,148399861,4
2020,148397170,4
2020,148397180,4
2020,148400356,4
2020,148403003,4
2020,148400728,5
2020,148403856,4
