"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,17,136260018,1,11,16345165
2020,5,136258027,1,11,16348450
2020,5,136258105,1,1,16348463
2020,12,136258437,1,11,16348506
2020,5,136258591,4.8,1,16345232
2020,5,136258953,1,11,16348543
2020,1,136259094,1,11,16348557
2020,7,136261073,1,11,16345280
2020,2,136261615,1,11,16345324
2020,8,136261725,1,9,16345336
2020,12,136262017,1,11,16345373
2020,5,136265443,1,11,16348677
2020,8,136265744,1,11,16348698
2020,5,136265777,1,1,16348704
2020,12,136262471,15,1,16345416
2020,5,136265921,1,11,16348717
2020,5,136266159,1,11,16348736
2020,12,136266195,1,11,16345438
2020,2,136262863,0.5,1,16345447
2020,5,136262890,1,11,16345450
2020,5,136266620,135,1,16348770
2020,5,136266644,1,11,16348775
2020,5,136263167,2,1,16345472
2020,5,136266907,1,11,16348805
2020,16,136263522,1,11,16348829
2020,9,136267235,1,9,16348852
2020,5,136267267,1,11,16348860
2020,5,136267322,1,1,16348870
2020,4,136263692,1,11,16348872
2020,12,136267829,1,11,16348931
2020,5,136267833,1,11,16348932
2020,5,136267852,1,11,16348933
2020,8,129105513,17,9,14942472
2020,12,129105511,0.1,1,14927142
2020,5,136239267,1,1,16342391
2020,1,136245951,3.1,1,16344375
2020,5,136246131,1.3,1,16344402
2020,5,136249793,8,1,16344435
2020,12,136250126,1,11,16344483
2020,12,136247417,1,11,16347669
2020,12,136247426,4,1,16347672
2020,1,136250636,1,11,16344575
2020,5,136247596,1,1,16347715
2020,5,136250900,3,1,16344608
2020,5,136250996,1,1,16344624
2020,5,136247929,0.003,1,16344634
2020,5,136251062,3,1,16344635
2020,5,136248074,0.8,1,16347810
2020,16,136248317,3,9,16347842
2020,12,136251696,1,11,16344718
2020,5,136251884,1,3,16347894
2020,5,136252199,1,1,16344758
2020,5,136252252,1,4,16344764
2020,5,136249487,0.7,1,16347954
2020,5,136252418,31.9,1,16344777
2020,16,136252516,1,9,16344787
2020,5,136254950,2.1,1,16347998
2020,12,136255055,3,1,16348010
2020,5,136252804,11,1,16348007
2020,15,136255249,1,11,16348026
2020,5,136255304,1,11,16344854
2020,5,136255325,1,1,16348040
2020,5,136253192,1,11,16344867
2020,5,136255613,1,1,16348082
2020,5,136253399,8,1,16348107
2020,3,136253512,1,11,16344917
2020,8,136253487,9,9,16348123
2020,8,136255994,1,9,16344927
2020,5,136253578,2,9,16344925
2020,1,136256059,0.1,1,16348145
2020,5,136256158,12.1,1,16348158
2020,5,136256634,34,1,16344980
2020,5,136254017,1,11,16348215
2020,5,136256651,1,1,16348222
2020,16,136254075,2,9,16344987
2020,5,136254266,23,1,16345018
2020,5,129105649,1,1,14942495
2020,4,136211199,4,1,16337039
2020,5,136211220,1,1,16339350
2020,5,136211275,1,1,16339363
2020,5,136204374,6.8,1,16337054
2020,16,136211325,1,9,16339372
2020,5,136211283,2.1,1,16339360
2020,5,136204499,1,1,16337073
2020,5,136211477,1,3,16339401
2020,5,136214633,1,1,16339429
2020,5,136214672,7,1,16337111
2020,1,136211649,1,1,16339435
2020,1,136211680,0.4,1,16339444
2020,5,136211692,2.5,1,16339447
2020,5,136211695,2.5,1,16339449
2020,5,136214722,3,1,16337133
2020,5,136214737,1,1,16337137
2020,5,136214793,1,1,16337153
2020,5,136214804,0.6,1,16337157
2020,5,136214792,1,1,16337155
2020,5,136211860,59,1,16339493
2020,5,136211897,2,1,16339498
2020,5,136214990,1,1,16339508
2020,5,136214997,15,1,16337176
2020,5,136212055,1,1,16337177
2020,4,136215024,26,1,16339511
2020,12,136215095,1.4,1,16337186
2020,12,136215131,5,9,16337194
2020,12,136215150,1,11,16339532
2020,12,136212319,1,11,16339547
2020,16,136212327,1,11,16339553
2020,12,136212340,1,11,16339555
2020,12,129532416,0.2,1,15005584
2020,8,136215273,1,11,16337213
2020,12,136215305,1,1,16337220
2020,12,136212440,0.03,1,16337223
2020,12,136215340,1.95,1,16337222
2020,5,136215381,1,9,16337229
2020,5,136212455,1,1,16339576
2020,5,136215405,2,1,16337232
2020,5,136212571,1,11,16339593
2020,5,136215475,0.8,1,16339597
2020,12,136212859,2,1,16337252
2020,12,136212864,1,11,16337253
2020,17,136215699,,,16337262
2020,12,136212910,0.3,1,16339622
2020,2,136212943,1,11,16339629
2020,5,136215768,19.8,1,16337268
2020,4,136233778,75.3,1,16341320
2020,5,136229334,6.5,1,16343567
2020,5,136229348,6,1,16343570
2020,2,136234212,0.25,1,16343620
2020,4,136234578,0.5,1,16343626
2020,5,136239591,3.22,1,16341485
2020,5,136234305,0.6,1,16341436
2020,5,136234691,3,1,16343646
2020,2,136234700,1,1,16343648
2020,5,136239650,3.9,1,16341495
2020,12,136234882,15.3,1,16341505
2020,5,136239710,1.56,1,16341508
2020,5,136235009,0.2,1,16343704
