"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,37700523,1,38029617
2020,37700530,1,38036211
2020,37689289,1,38040016
2020,37700552,1,38036234
2020,37689310,1,38040026
2020,37748497,1,38093942
2020,37748501,1,38084028
2020,37689192,1,38029575
2020,37700507,7,38036191
2020,37700536,1,38029646
2020,37689304,1,38029691
2020,37689313,1,38029699
2020,37700557,1,38036240
2020,37689334,1,38029721
2020,37689362,1,38029751
2020,37689372,8,38029759
2020,37696908,1,38040060
2020,37700566,1,38036251
2020,37700567,1,38036252
2020,37700565,1,38036250
2020,37689418,1,38029807
2020,37700570,1,38036257
2020,37700571,1,38036258
2020,37689432,1,38029820
2020,37689433,1,38029821
2020,37700574,1,38036262
2020,37689440,1,38029828
2020,37689445,1,38029833
2020,37689447,1,38029835
2020,37689448,1,38029836
2020,37689455,1,38040077
2020,37689456,1,38029842
2020,37689464,1,38029850
2020,37689465,1,38029851
2020,37700575,1,38036264
2020,37700582,3,38036273
2020,37704519,3,38029901
2020,37700583,1,38036274
2020,42024431,1,42449801
2020,37610034,1,37920438
2020,37316553,1,37613510
2020,37312978,1,37613530
2020,37518514,1,37825838
2020,37514296,1,37823411
2020,37514421,1,37831537
2020,37524580,1,37831695
2020,37524663,1,37826181
2020,37524810,1,37831904
2020,37518895,1,37826290
2020,37518908,1,37823761
2020,37524822,1,37831917
2020,37518919,3,37823772
2020,37523459,1,37826356
2020,37309122,3,37613147
2020,37316472,1,37613444
2020,37316815,1,37617442
2020,37319918,1,37622303
2020,37518963,1,37823812
2020,37524917,1,37832018
2020,37519056,1,37823901
2020,37525057,1,37832151
2020,37519187,1,37824018
2020,37519248,1,37824088
2020,41711857,3,42113815
2020,41715843,4,42113814
2020,37525225,1,37824199
2020,37519412,1,37824244
2020,37519431,1,37824261
2020,37519430,1,37824260
2020,37525269,1,37832392
2020,41715845,3,42117337
2020,41711872,1,42117346
2020,41711916,1,42117386
2020,41715867,1,42113843
2020,41712054,1,42117506
2020,41712063,1,42117513
2020,41712078,1,42117525
2020,41716074,1,42114071
2020,41712205,1,42117654
2020,41716075,1,42117653
2020,41712216,1,42117667
2020,41712225,1,42117671
2020,41712263,1,42117715
2020,41716137,1,42114133
2020,41712313,1,42114160
2020,41712314,1,42117761
2020,41712305,1,42117755
2020,41712341,1,42117788
2020,41712357,1,42117803
2020,41712359,1,42114183
2020,41712407,1,42117856
2020,41712438,1,42117888
2020,41712441,1,42117892
2020,41716253,1,42114247
2020,41712442,1,42117894
2020,41716278,1,42114268
2020,41712494,1,42117947
2020,41712518,1,42117970
2020,41712541,1,42117998
2020,41716350,1,42114339
2020,41716364,1,42114354
2020,41716386,1,42114375
2020,41716384,2,42114373
2020,41716385,1,42114374
2020,41712598,1,42118058
2020,41716414,1,42118075
2020,41716442,1,42114440
2020,41716449,7,42118115
2020,41716452,1,42114448
2020,41716464,1,42114467
2020,41716478,1,42114477
2020,41712714,1,42118159
2020,41712761,1,42118204
2020,41716558,1,42118211
2020,41712791,1,42118231
2020,41716606,1,42114613
2020,41712858,1,42118298
2020,41712869,1,42118308
2020,41716709,1,42118363
2020,41716710,1,42118365
2020,41716711,1,42114713
2020,41712924,1,42118367
2020,41712934,1,42118380
2020,41716720,1,42118379
2020,41712943,1,42118389
2020,41712946,1,42118391
2020,41716743,1,42114744
2020,41712957,1,42118401
2020,41712972,1,42114749
2020,41716760,7,42114762
2020,41716754,1,42114755
2020,41712978,1,42114756
2020,41712991,1,42118433
2020,41716768,1,42118435
2020,41713005,1,42118444
2020,41712999,1,42118443
2020,41716788,3,42118457
2020,42024247,2,42450018
2020,42024464,1,42449856
2020,42024463,1,42449855
2020,41709728,1,42112160
2020,41714715,1,42112689
2020,41704167,1,42112159
2020,41704186,1,42112176
2020,41704222,1,42112209
2020,41704245,1,42112230
2020,41704288,1,42112273
2020,41704305,2,42112292
2020,41709923,1,42115391
2020,41709956,1,42112367
2020,41704450,1,42112428
2020,41704457,1,42112435
2020,41710043,1,42115508
2020,41704488,1,42112472
2020,41710109,1,42115569
2020,41714542,1,42115628
2020,41710168,1,42115627
2020,41710204,1,42115663
2020,41714575,1,42112560
2020,41710229,1,42115687
2020,41714590,1,42115701
2020,41714596,1,42112586
2020,41714599,1,42112590
2020,41710288,1,42115750
2020,41710310,1,42115775
2020,41714668,1,42112648
2020,41710327,1,42115792
2020,41710328,1,42115794
2020,41710372,1,42115832
2020,41710387,1,42112688
2020,41710388,1,42115845
2020,41714702,1,42115849
2020,41710419,1,42115870
2020,41710415,1,42112709
2020,41710429,1,42115881
2020,41710460,1,42115907
2020,41710461,1,42115908
2020,41714749,1,42112756
2020,41710507,1,42115950
2020,41710508,1,42115951
2020,41710477,1,42115923
2020,41714762,3,42115928
2020,41714780,1,42112781
2020,41714816,1,42112819
2020,41710571,1,42116009
2020,41710583,1,42116022
2020,41710603,7,42112830
2020,41714824,1,42112828
2020,41714831,1,42112842
2020,41714842,1,42112847
2020,41710651,1,42116090
2020,41714896,6,42112899
2020,41710658,1,42116094
2020,41714942,1,42116142
