"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,163051234
2020,4,163044786
2020,3,163044799
2020,3,163044801
2020,3,163044800
2020,3,163051262
2020,4,163051381
2020,4,163044923
2020,4,163051526
2020,4,163045023
2020,4,163051640
2020,3,163052023
2020,4,163045354
2020,4,163052120
2020,4,163052223
2020,4,163045498
2020,4,163051233
2020,4,163051251
2020,4,163051250
2020,4,163044788
2020,4,163044790
2020,4,163051259
2020,4,163051367
2020,4,163044870
2020,3,163051417
2020,3,163051411
2020,4,163044925
2020,4,163051539
2020,4,163044982
2020,4,163045012
2020,4,163051636
2020,4,163045063
2020,4,163051707
2020,4,163045108
2020,4,163045121
2020,4,163045134
2020,4,163045179
2020,4,163051892
2020,3,163045282
2020,3,163052002
2020,3,163052038
2020,3,163045358
2020,4,163045388
2020,3,163052149
2020,1,163052149
2020,3,163052148
2020,1,163052148
2020,3,163045442
2020,4,162524083
2020,4,162526505
2020,4,162524126
2020,4,162524039
2020,4,162524084
2020,4,162526571
2020,4,162524214
2020,4,162526945
2020,4,162524437
2020,4,162527140
2020,4,162524522
2020,4,162524619
2020,4,162524616
2020,3,162527346
2020,4,162527389
2020,4,162524624
2020,3,162527538
2020,4,162527699
2020,4,162524868
2020,4,162524945
2020,4,162524981
2020,4,162525078
2020,4,162525141
2020,4,162527974
2020,4,162525252
2020,4,162525336
2020,4,162525337
2020,4,162528282
2020,4,162525426
2020,4,162528560
2020,4,162528593
2020,4,162528613
2020,4,162528657
2020,4,162525654
2020,4,162528697
2020,3,162528726
2020,3,162528727
2020,3,162528753
2020,4,162528796
2020,4,162528868
2020,4,162528931
2020,4,162529008
2020,4,162529146
2020,4,162526053
2020,4,162529209
2020,4,162526095
2020,4,162529411
2020,4,162529428
2020,4,162531324
2020,4,162531385
2020,3,162529683
2020,3,162529675
2020,4,162529756
2020,4,162529794
2020,4,162531657
2020,4,162529949
2020,4,162530071
2020,4,162530231
2020,4,162507170
2020,4,162507249
2020,4,162512353
2020,4,162507400
2020,4,162507533
2020,4,162512579
2020,4,162512584
2020,4,162507695
2020,4,162512778
2020,4,162512791
2020,4,162512997
2020,4,162513045
2020,4,162507909
2020,3,162507964
2020,3,162513167
2020,3,162507961
2020,4,162513198
2020,4,162513188
2020,4,162513216
2020,4,162513273
2020,4,162508139
2020,4,162508140
2020,4,162513434
2020,4,162513597
2020,4,162530233
2020,4,162531953
2020,4,162532048
2020,4,162532046
2020,4,162530406
2020,4,162530396
2020,4,162530434
2020,4,162530471
2020,4,162530558
2020,4,162530565
