"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136246907,63,1,,153025442
2020,136250179,20,500,,153020803
2020,136234977,63,100,,153009666
2020,136234977,8,200,,153009665
2020,136246952,63,1,,153025506
2020,136246954,63,60,,153025490
2020,136246972,38,1,,153025525
2020,136240058,10,,,153009858
2020,136260955,8,131,16-DEC-20,153042551
2020,136258976,8,131,,153038757
2020,136260999,30,1,,153042604
2020,136263574,2,42,,153045681
2020,136267354,20,5000,,153047715
2020,136263752,63,50,,153045871
2020,136267637,10,,,153048045
2020,136263963,10,,,153046093
2020,136267718,26,2,,153048150
2020,136267774,63,159,,153048214
2020,136267771,63,159,27-DEC-20,153048208
2020,136267774,6,53,,153048211
2020,136267771,8,8,27-DEC-20,153046214
2020,136267771,6,53,27-DEC-20,153048203
2020,136267774,8,8,,153048213
2020,136267849,67,1,,153048301
2020,136267864,3,7000,,153048312
2020,136264163,20,1600,,153046316
2020,136264189,3,20000,,153048369
2020,136246972,63,530,,153025526
2020,136235160,63,50,,153009875
2020,136235166,63,500,,153009888
2020,136274884,4,200,,153050651
2020,136274880,4,200,31-JUL-20,153050649
2020,136235163,30,1,,153012548
2020,136274990,16,1,01-JAN-21,153053058
2020,136274992,16,1,,153050770
2020,136246972,13,350,,153020832
2020,136235163,63,1,,153012550
2020,136275050,16,2000,,153050833
2020,136275089,63,91603,,153050874
2020,136246983,16,800,,153025533
2020,136250232,63,400,,153020863
2020,136240083,19,2,,153012554
2020,136240087,20,2,,153009887
2020,136246995,7,100,,153020846
2020,136250220,3,8000,01-DEC-20,153020852
2020,136250233,9,0,,153020855
2020,136250233,25,40,,153020864
2020,136235212,19,400,,153012651
2020,136240185,63,20,,153012672
2020,136270863,38,8000,,153053313
2020,136240210,13,600,,153012698
2020,136235228,10,,,153012721
2020,136250233,63,900,,153020865
2020,136240237,10,,,153012738
2020,136240207,63,1,,153012695
2020,136235278,10,,,153010020
2020,136240290,63,195,,153012803
2020,136235297,63,195,09-SEP-20,153010043
2020,136250233,20,60,,153025562
2020,136250233,3,8000,,153020853
2020,136250295,63,290,,153020944
2020,136235364,38,1,,153010131
2020,136250297,10,,,153020947
2020,136250311,25,400,,153025662
2020,136235365,25,250,,153010127
2020,136250311,35,600,,153025663
2020,136240454,12,460,,153013000
2020,136235459,63,466,,153010264
2020,136240629,67,1,,153013190
2020,136240629,54,2817,,153010337
2020,136240601,54,2817,04-SEP-20,153010335
2020,136240613,29,1,,153013174
2020,136247118,10,,,153025693
2020,136250354,3,6000,,153021017
2020,136235542,63,1,,153013224
2020,136235553,61,25,,153010388
2020,136235601,13,380,,153013311
2020,136247143,19,18,16-AUG-20,153025727
2020,136247142,35,1,,153021009
2020,136235644,13,600,,153010492
2020,136235644,26,1,,153010493
2020,136240806,10,,,153010514
2020,136247144,19,18,,153025729
2020,136250367,10,,,153021038
2020,136247201,9,0,,153025800
2020,136247199,36,1,,153021059
2020,136247199,63,1,,153021060
2020,136250389,36,1,26-JUL-20,153021057
2020,136247198,11,1,,153025797
2020,136235704,38,600,,153010586
2020,136235725,13,250,,153010604
2020,136235759,63,1100,,153013553
2020,136240973,20,9058,,153013576
2020,136241121,38,25,,153013749
2020,136241145,63,7,,153013781
2020,136241186,63,92,,153013819
2020,136241185,63,92,11-AUG-20,153010847
2020,136235946,64,2200,,153010867
2020,136235981,26,1200,,153013892
2020,136236001,63,500,,153010941
2020,136247198,10,,,153025795
2020,136247203,20,188,,153021062
2020,136247216,63,1,,153021080
2020,136247245,26,130,,153025847
2020,136247259,38,130,,153025862
2020,136250473,36,50000,,153025875
2020,136250473,63,8000,,153025879
2020,136250498,6,1,02-DEC-20,153021189
2020,136250500,6,48,,153021191
2020,136250498,19,1,02-DEC-20,153021190
2020,136250500,19,222,,153025928
2020,136247308,63,3,,153025930
2020,136247330,10,,,153025965
2020,136236246,10,,,153014288
2020,136236246,11,1,,153011221
2020,136241587,54,868,,153014315
2020,136236304,3,80,,153014383
2020,136236315,17,1000,,153011326
2020,136223096,63,31000,,152998457
2020,136236315,63,200,,153014399
2020,136236389,10,,,153014530
2020,136241855,16,120,,153014623
2020,136224996,42,28,,152994291
2020,136223265,3,1,,152998591
2020,136223337,3,18000,14-SEP-20,152994389
2020,136223340,3,18000,,152994390
2020,136225097,63,20,,152998698
2020,136225090,16,24,28-APR-20,152998690
2020,136225090,63,20,28-APR-20,152994433
2020,136225097,16,24,,152998695
2020,136225154,20,23,,152994542
2020,136225154,51,0,,152998760
2020,136225154,25,75,,152998758
2020,136225154,47,0,,152998759
2020,136225154,9,0,,152994541
2020,136223602,24,4,,152994712
2020,136225285,63,200,,152994723
2020,136225415,25,10,,152999088
2020,136225415,20,270,,152994953
2020,136225415,9,0,,152994952
2020,136223830,20,26,,152999110
2020,136223830,52,0,,152999112
2020,136241943,26,250,,153014718
2020,136241943,63,1025,,153014719
2020,136241968,38,270,,153011587
2020,136236537,38,100,05-NOV-20,153011586
2020,136242034,8,107,,153014847
2020,136242033,8,1,04-NOV-20,153014814
2020,136236685,36,100,,153014986
2020,136236685,26,800,,153014985
2020,136236685,63,50,,153014987
2020,136236685,7,300,,153011732
2020,136236727,7,20,10-NOV-20,153011827
2020,136236727,6,17,10-NOV-20,153011826
2020,136236729,7,20,,153011830
2020,136236729,6,17,,153011829
2020,136242205,7,1496,,153015041
2020,136236748,13,300,,153011852
2020,136236756,63,1,,153011861
2020,136242266,3,13000,18-NOV-20,153015125
2020,136236807,7,264,,153015130
2020,136222597,11,1,,152998014
2020,136222625,21,1,,152993574
2020,136219535,20,5000,,152998034
2020,136222658,20,100,,152993616
2020,136219568,10,,,152998073
2020,136222666,38,134,,152993556
2020,136222935,2,25,,152993911
2020,136222929,38,1,,152993900
2020,136236894,63,1,,153011997
2020,136242424,3,1500,,153015299
2020,136236995,10,,,153015377
2020,136247527,25,1,,153026207
2020,136237011,10,,,153015400
2020,136237011,11,2,,153012134
2020,136242574,3,10000,,153015466
2020,136237088,63,10,,153012235
2020,136243772,38,500,,153016813
2020,136237842,63,100,,153018075
2020,136237842,38,30,,153016766
2020,136243701,10,,,153016722
2020,136243789,20,500,,153016839
2020,136243815,63,153,,153018123
2020,136237898,63,2,,153018122
2020,136243825,63,65,,153018098
2020,136237934,63,421,,153018165
2020,136237933,63,421,15-SEP-20,153016920
2020,136243884,19,85,,153016942
2020,136243892,63,630,,153016954
2020,136238091,20,3109,,153018347
2020,136238104,13,450,,153017169
2020,136244356,3,16000,,153022448
2020,136247527,20,100,,153026206
2020,136247670,21,750,,153026376
2020,136247714,20,4700,,153026436
2020,136250933,16,84,,153026537
2020,136250932,16,84,08-AUG-20,153021654
2020,136237962,63,300,,153016970
2020,136243902,63,71,17-APR-20,153018197
2020,136243903,63,71,,153016972
2020,136243954,20,8889,,153017024
