"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,148367310,153351733,3,49023431
2020,148370813,153355090,1,49027105
2020,148371006,153355184,3,49027191
2020,148367608,153355184,1,49023556
2020,148371021,153352144,3,49023560
2020,148367660,153352198,1,49027208
2020,148371086,153355207,3,49027196
2020,148373148,153352762,14,49023740
2020,148372034,153355987,24,49027549
2020,148372034,153355986,24,49027547
2020,148373419,153355986,24,49023854
2020,148373419,153355987,24,49023855
2020,148373626,153356213,18,49023923
2020,148372710,153353811,24,49027801
2020,148372710,153353810,24,49027800
2020,148372710,153356461,24,49027783
2020,148372810,153353929,22,49027834
2020,148374035,153356642,18,49027872
2020,148378026,153356735,3,49027922
2020,148374288,153354364,26,49027996
2020,148378478,153357071,17,49024248
2020,148378556,153357131,21,49024280
2020,148374956,153360036,24,49028224
2020,148374956,153357420,24,49028226
2020,148352407,153338382,18,49019201
2020,148352458,153338426,3,49019215
2020,148357990,153338995,3,49019345
2020,148355726,153338426,25,49019213
2020,148355726,153333187,3,49011180
2020,148352458,153333187,25,49011183
2020,148356544,153339344,3,49021364
2020,148356689,153334224,24,49021404
2020,148357279,153334813,3,49021556
2020,148357279,153340107,18,49019665
2020,148359653,153345203,1,49019820
2020,148359694,153340659,9,49021667
2020,148359694,153345210,21,49019830
2020,148359860,153340877,18,49019890
2020,148359860,153340875,25,49019888
2020,148357756,153340877,25,49021711
2020,148357756,153340875,18,49019893
2020,148359934,153340950,3,49019915
2020,148360276,153345674,18,49020023
2020,148360395,153341446,14,49021859
2020,148360521,153345919,25,49020103
2020,148360521,153345920,16,49020104
2020,148360519,153345920,25,49020102
2020,148360519,153345919,16,49020101
2020,148361492,153346667,21,49020393
2020,148361606,153342698,18,49022131
2020,148361606,153346753,18,49022133
2020,148364151,153342698,18,49022129
2020,148364151,153346753,18,49022130
2020,148364180,153346773,3,49022152
2020,148361670,153342751,22,49020444
2020,148361958,153347057,18,49022262
2020,148364979,153343771,18,49022499
2020,148365121,153343980,24,49022574
2020,148365261,153344160,5,49022629
2020,148366527,153348983,13,49023121
2020,148366597,153349153,8,49023131
2020,148369792,153350982,1,49023199
2020,148369792,153350978,25,49026711
2020,148366737,153350980,25,49026717
2020,148369792,153350984,1,49026715
2020,148369801,153350984,25,49026724
2020,148369796,153350982,25,49026719
2020,148366737,153350982,1,49026718
2020,148369801,153350980,1,49023205
2020,148366737,153350984,1,49023201
2020,148369801,153350978,1,49026723
2020,148369792,153350980,9,49026713
2020,148366737,153350978,9,49026716
2020,148369796,153350984,17,49026720
2020,148369796,153350978,1,49023203
2020,148369801,153350982,5,49023206
2020,148369796,153350980,1,49023204
2020,148369891,153349376,16,49026752
2020,148366783,153349376,16,49026750
2020,148370081,153351213,3,49026829
2020,148370081,153351211,25,49026827
2020,148366913,153351211,3,49026830
2020,148366913,153351213,25,49023269
2020,148370505,153351630,18,49026975
2020,148367429,153351783,25,49027079
2020,148367416,153351783,16,49023461
2020,148367416,153354993,25,49023462
2020,148367429,153354993,16,49027081
2020,148371019,153355216,18,49027195
2020,148367700,153352239,18,49023579
2020,148371199,153352344,18,49027254
2020,148371303,153355473,16,49023642
2020,148371303,153352449,25,49027309
2020,148371307,153355473,25,49027310
2020,148371307,153352449,16,49027311
2020,148373274,153352989,5,49023805
2020,148373891,153356496,18,49024027
2020,148373955,153356532,1,49024060
2020,148374003,153354008,1,49024090
2020,148377998,153356722,25,49027910
2020,148378001,153356721,25,49027912
2020,148378001,153356722,3,49024122
2020,148377998,153356721,3,49027909
2020,148374390,153354519,1,49024212
2020,148374939,153360139,9,49024405
2020,148379120,153357655,3,49024450
2020,148375080,153357655,25,49028310
2020,148375080,153357656,3,49028312
2020,148379120,153357656,25,49024451
2020,148379227,153357754,3,49028341
2020,148379220,153360412,3,49028339
2020,148379227,153360412,25,49024485
2020,148379220,153357754,25,49028338
2020,148375364,153357954,1,49024577
2020,148379968,153361212,24,49028654
2020,148375807,153361220,3,49028663
2020,148380406,153358703,19,49028817
2020,148380594,153361834,24,49028873
2020,148380844,153359004,17,49024961
2020,148380973,153359127,3,49029014
2020,148377005,153362801,18,49025142
2020,148377013,153362698,18,49029178
2020,148377013,153362753,18,49029181
2020,148377013,153362751,18,49029179
2020,148377013,153362754,18,49029182
2020,148377013,153362752,18,49029180
2020,148382495,153363712,3,49025391
2020,148382798,153364005,18,49025455
2020,148383104,153364181,3,49029679
2020,148383409,153364609,24,49029813
2020,148383540,153366194,1,49025645
2020,148383880,153370260,16,49025765
2020,148389121,153366601,5,49030045
2020,148357930,153338933,3,49019335
2020,148355862,153338570,18,49011208
2020,148356073,153338740,18,49011248
2020,148358288,153339306,1,49019418
2020,148358284,153339306,1,49019417
2020,148358412,153339398,15,49019439
2020,148359082,153340067,16,49019631
2020,148357310,153340233,18,49021566
2020,148352144,153332938,18,49011128
2020,148352143,153332937,18,49011124
2020,148352143,153332936,18,49011123
2020,148352144,153332937,18,49011127
2020,148352143,153332938,18,49011125
2020,148352144,153332936,18,49011126
2020,148352406,153333137,3,49011169
2020,148355717,153338430,16,49011179
