"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2020,21,162491390
2020,21,162488747
2020,21,162491306
2020,21,162491394
2020,22,162488871
2020,21,162491539
2020,21,162491586
2020,21,162491683
2020,21,162489037
2020,21,162488975
2020,21,162489043
2020,21,162491869
2020,21,162491980
2020,21,162492273
2020,21,162489464
2020,21,162489588
2020,21,162489615
2020,21,162492560
2020,21,162492634
2020,22,162492608
2020,21,162492645
2020,21,162492678
2020,21,162489741
2020,21,162492718
2020,21,162492824
2020,21,162490011
2020,21,162490023
2020,21,162493052
2020,21,162490108
2020,21,162493097
2020,21,162490115
2020,21,162493074
2020,21,162493153
2020,21,162493151
2020,21,162493264
2020,21,162493278
2020,21,162493393
2020,21,162490356
2020,21,162493515
2020,22,162493660
2020,22,162490499
2020,21,162490519
2020,21,162490597
2020,21,162493704
2020,21,162490688
2020,21,162493947
2020,21,162490744
2020,21,162490879
2020,22,162494294
2020,21,162494304
2020,21,162494278
2020,21,162491144
2020,21,162494533
2020,21,162496241
2020,21,162496405
2020,21,162494857
2020,21,162496498
2020,21,162494909
2020,21,162496879
2020,21,162496898
2020,21,162496934
2020,21,162495632
2020,21,162497145
2020,21,162495756
2020,21,162497173
2020,21,162495820
2020,21,162495954
2020,21,162496054
2020,21,162496108
2020,21,162496123
2020,21,162496148
2020,21,162497499
2020,21,162501225
2020,21,162501224
2020,21,162497576
2020,22,162501375
2020,21,162497736
2020,21,162497760
2020,22,162501637
2020,22,162501731
2020,21,162501812
2020,21,162501872
2020,21,162498029
2020,21,162498024
2020,21,162498077
2020,21,162502045
2020,21,162498143
2020,21,162502188
2020,21,162502303
2020,21,162502166
2020,21,162498201
2020,21,162502363
2020,21,162502501
2020,21,162502508
2020,21,162502601
2020,21,162502638
2020,21,162498645
2020,21,162498643
2020,21,162502862
2020,21,162502834
2020,21,162502905
2020,21,162502993
2020,21,162503053
2020,21,162503094
2020,21,162503102
2020,21,162498991
2020,21,162499016
2020,21,162503187
2020,21,162503315
2020,21,162499203
2020,21,162499237
2020,21,162499238
2020,21,162499309
2020,21,162499336
2020,21,162503689
2020,21,162499468
2020,21,162499467
2020,21,162499543
2020,21,162499567
2020,21,162499591
2020,21,162499658
2020,21,162504108
2020,22,162504104
2020,21,162499724
2020,21,162499791
2020,21,162499881
2020,21,162499882
2020,21,162504381
2020,21,162499989
2020,21,162500079
2020,21,162504493
2020,21,162504529
2020,21,162504530
2020,21,162504857
2020,21,162504965
2020,21,162505140
2020,21,162500647
2020,21,162505207
2020,21,162505227
2020,21,162500788
2020,21,162505304
2020,21,162500926
2020,21,162505589
2020,21,162500970
2020,21,162501001
2020,21,162501049
2020,21,162505854
2020,21,162505881
2020,21,162505749
2020,21,162505751
2020,21,162505714
2020,21,162505712
2020,21,162506292
2020,22,162506375
2020,21,162506037
2020,21,162506360
2020,21,162511295
2020,22,162511299
2020,22,162506722
2020,21,162506754
2020,21,162506778
2020,21,162511612
2020,21,162506812
2020,21,162511734
2020,21,162506916
2020,21,162506968
2020,22,162507213
2020,21,162512187
2020,21,162507174
2020,21,162507304
2020,21,162507343
2020,21,162512389
2020,22,162512549
2020,21,162507537
2020,22,162512673
2020,21,162507622
2020,21,162507665
2020,21,162507785
2020,21,162507799
2020,21,162512943
2020,21,162513123
2020,21,162513137
2020,21,162507990
2020,21,162513224
2020,21,162508022
2020,21,162508066
2020,22,162508119
2020,21,162513502
2020,21,162513504
2020,21,162513543
2020,21,162513576
2020,21,162508296
2020,22,162513630
2020,21,162513719
2020,21,162508516
2020,21,162508601
2020,21,162508637
2020,21,162514131
2020,21,162514130
2020,21,162514059
2020,22,162514452
2020,21,162508954
2020,21,162514504
2020,21,162508944
2020,21,162514608
2020,21,162509063
2020,21,162514811
2020,21,162514927
2020,21,162514922
2020,21,162509271
2020,21,162509296
2020,21,162509502
2020,21,162509503
2020,21,162509506
2020,21,162509562
2020,21,162515338
2020,21,162509616
2020,21,162515474
2020,21,162515516
2020,21,162509720
2020,21,162509736
2020,21,162515569
2020,21,162515603
2020,21,162515650
2020,21,162509831
2020,21,162515730
2020,22,162510004
2020,21,162515957
2020,21,162516015
2020,21,162516046
2020,21,162516095
2020,22,162510280
2020,22,162510312
2020,21,162516310
2020,21,162516470
2020,21,162516751
2020,21,162510790
2020,21,162516920
2020,21,162516919
2020,21,162516977
2020,21,162516990
2020,21,162516993
2020,21,162517098
2020,21,162517183
2020,21,162517202
2020,21,162517232
2020,21,162511087
2020,21,162517269
2020,21,162511128
2020,21,162517323
2020,22,162517432
2020,21,162517490
2020,21,162521379
2020,21,162521377
2020,21,162521374
2020,21,162521414
2020,21,162517615
2020,21,162521437
2020,21,162521487
2020,21,162521469
2020,21,162521456
2020,21,162521515
2020,22,162521550
2020,21,162517837
2020,21,162517877
2020,21,162521628
2020,21,162521627
2020,21,162517979
2020,21,162518047
2020,22,162518147
2020,22,162518148
2020,22,162521787
2020,21,162518122
2020,21,162518175
2020,21,162521873
2020,21,162518288
2020,21,162518287
2020,21,162518306
2020,21,162521976
2020,21,162518406
2020,21,162518458
2020,21,162518517
2020,21,162522067
2020,21,162522114
2020,21,162522113
2020,21,162522160
2020,21,162518677
2020,21,162522191
2020,21,162522229
2020,21,162522225
2020,21,162518759
2020,21,162522247
2020,21,162518849
2020,21,162522297
2020,21,162518917
2020,21,162522316
2020,21,162518971
2020,21,162519001
2020,21,162522355
2020,21,162519046
2020,21,162519059
2020,21,162522527
2020,21,162519227
2020,21,162522588
2020,21,162522597
2020,21,162519358
2020,21,162519576
2020,21,162519630
2020,21,162522752
2020,21,162519767
2020,21,162519887
2020,21,162519915
2020,21,162520029
2020,21,162523053
2020,21,162519991
2020,21,162523123
2020,21,162520256
2020,21,162523171
2020,21,162520247
2020,21,162520262
2020,21,162520300
2020,21,162520319
2020,21,162520290
2020,21,162523235
2020,21,162520447
2020,21,162523270
2020,21,162523284
2020,21,162520487
2020,21,162523278
2020,21,162520478
2020,21,162520528
2020,21,162523340
2020,22,162520584
2020,21,162523394
2020,21,162523452
2020,21,162523497
2020,21,162520818
2020,21,162520787
2020,21,162520969
2020,21,162523620
2020,21,162521159
2020,21,162521157
2020,21,162521169
2020,21,162523786
2020,21,162523799
2020,21,162526258
2020,21,162526257
2020,21,162523883
2020,21,162526422
2020,21,162526392
2020,22,162524068
2020,21,162524102
2020,21,162526578
2020,21,162526688
2020,21,162524182
2020,21,162524183
2020,21,162524219
2020,21,162526762
2020,21,162524302
2020,21,162526885
2020,21,162526963
2020,21,162526951
2020,21,162526986
2020,21,162526996
2020,21,162527082
2020,21,162527099
2020,21,162524439
2020,21,162527062
2020,21,162524491
2020,21,162524516
2020,21,162527193
2020,21,162524529
2020,21,162527250
2020,21,162527413
2020,21,162527458
2020,21,162527457
2020,21,162527589
2020,21,162527591
2020,21,162527632
2020,21,162524875
2020,21,162527749
2020,21,162524992
2020,21,162524993
2020,21,162527996
2020,21,162525106
2020,21,162528060
2020,21,162528216
2020,21,162528350
2020,21,162525396
2020,21,162528373
2020,21,162525433
2020,21,162525472
2020,21,162528488
2020,21,162528501
2020,21,162474830
2020,21,162478502
2020,21,162474960
2020,21,162474961
2020,22,162474983
2020,21,162475034
2020,21,162475068
2020,22,162475212
2020,21,162475227
2020,21,162475264
2020,21,162478836
2020,21,162478890
2020,21,162475356
2020,21,162478936
2020,21,162478938
2020,21,162478949
2020,21,162479034
2020,21,162475518
2020,21,162475531
2020,21,162475598
2020,21,162479192
2020,21,162479216
2020,21,162475711
2020,21,162475766
2020,21,162475748
2020,21,162475843
2020,21,162479417
2020,21,162479466
2020,21,162476021
2020,21,162479486
2020,21,162475947
2020,21,162475967
2020,21,162479618
2020,21,162481189
2020,21,162479747
2020,21,162479739
2020,21,162479742
2020,21,162481292
2020,21,162479743
2020,21,162481432
2020,21,162479865
2020,21,162479853
2020,21,162479849
2020,21,162479852
2020,21,162481518
2020,21,162481548
2020,21,162479965
2020,22,162481707
2020,21,162480123
2020,22,162480132
2020,21,162480223
2020,22,162481965
2020,21,162482012
2020,21,162480342
2020,21,162480404
2020,21,162482185
2020,21,162480501
2020,21,162482312
2020,21,162482338
2020,21,162480657
2020,21,162482412
2020,21,162480747
2020,21,162480760
2020,22,162480814
2020,21,162482634
2020,21,162480856
2020,21,162480935
2020,21,162482778
2020,21,162480961
2020,21,162483102
2020,21,162483140
2020,21,162483219
2020,21,162483270
2020,21,162483279
2020,21,162483446
2020,21,162486416
2020,21,162486433
2020,21,162486482
2020,21,162483561
2020,21,162483576
2020,21,162486557
2020,21,162486608
2020,21,162486616
2020,21,162483773
2020,21,162486674
2020,21,162484017
2020,21,162484067
2020,21,162484161
2020,21,162484212
2020,21,162484213
2020,21,162487053
2020,21,162487109
2020,21,162484341
2020,21,162487176
2020,21,162484369
2020,21,162487205
2020,21,162484482
2020,21,162487232
2020,21,162487269
2020,21,162487261
2020,21,162484543
2020,21,162484570
2020,21,162487333
2020,21,162484615
2020,21,162484688
2020,21,162487435
2020,21,162487459
2020,21,162484811
2020,21,162484835
2020,21,162484841
2020,21,162484894
2020,21,162487797
2020,21,162485347
2020,21,162485311
2020,21,162485379
2020,21,162485416
2020,21,162488105
2020,21,162485460
2020,21,162485632
2020,21,162488232
2020,21,162488236
2020,21,162485862
2020,21,162488569
2020,21,162488585
2020,21,162488552
2020,21,162488553
2020,21,162486122
2020,21,162491400
2020,21,162488798
2020,21,162491496
2020,21,162491497
2020,21,162491693
2020,21,162488998
2020,21,162491839
2020,21,162491879
2020,21,162489145
2020,21,162492122
2020,21,162492212
2020,21,162492214
2020,21,162492213
2020,21,162489391
2020,21,162489533
2020,21,162492450
2020,21,162489508
2020,21,162489669
2020,21,162489690
2020,21,162492652
2020,21,162492684
2020,21,162489771
2020,21,162489720
2020,21,162492726
2020,21,162492639
2020,21,162492747
2020,21,162492746
2020,21,162489878
2020,21,162492832
2020,21,162492764
2020,21,162492936
2020,21,162492945
2020,21,162492891
2020,21,162493064
2020,21,162492985
2020,21,162493155
2020,21,162493244
2020,21,162490202
2020,21,162493257
2020,21,162490233
2020,21,162493317
2020,21,162490311
2020,21,162493400
2020,21,162493444
2020,21,162493518
2020,21,162493521
2020,21,162490405
2020,21,162493519
2020,21,162490474
2020,21,162493635
2020,21,162490521
2020,21,162490705
2020,21,162493906
2020,21,162490758
2020,21,162494105
2020,21,162490897
2020,21,162494245
2020,21,162490930
2020,22,162494442
2020,21,162491160
2020,21,162494481
2020,21,162491172
2020,21,162491084
2020,21,162496244
2020,21,162494657
2020,21,162494781
2020,21,162494794
2020,21,162494951
2020,21,162495048
2020,21,162496660
2020,21,162496717
2020,21,162496716
2020,21,162496730
2020,21,162496761
2020,21,162497031
2020,21,162495726
2020,21,162495717
2020,21,162497134
2020,21,162497365
2020,21,162496013
2020,21,162496103
2020,21,162501193
2020,21,162497557
2020,21,162501310
2020,22,162497685
2020,21,162501530
2020,21,162501524
2020,21,162501564
2020,21,162501577
2020,21,162501601
2020,22,162501737
2020,21,162497939
2020,21,162501866
2020,21,162501905
2020,21,162501869
2020,22,162502141
2020,21,162502193
2020,21,162502192
2020,21,162502233
2020,21,162502250
2020,21,162502236
2020,21,162502287
2020,21,162498331
2020,21,162498317
2020,21,162502342
2020,21,162502345
2020,21,162498381
2020,21,162498382
2020,21,162498476
2020,21,162502538
2020,21,162498575
2020,21,162502651
2020,21,162498716
2020,21,162498745
2020,21,162499050
2020,21,162503238
2020,21,162499161
2020,21,162503394
2020,21,162503453
2020,21,162499312
2020,21,162499413
2020,21,162499418
2020,21,162499433
2020,21,162503752
2020,21,162499498
2020,21,162503885
2020,21,162503892
2020,21,162499583
2020,21,162504018
2020,21,162504127
2020,21,162499817
2020,21,162499851
2020,21,162500001
2020,21,162500024
2020,21,162500065
2020,21,162504751
2020,21,162500342
2020,21,162504826
2020,21,162500403
2020,21,162504889
2020,21,162504949
2020,21,162504935
2020,21,162505135
2020,21,162500678
2020,21,162505336
2020,21,162500985
2020,21,162506110
2020,22,162506432
2020,21,162506446
2020,21,162506457
2020,21,162511208
2020,21,162511344
2020,21,162506586
2020,22,162506619
2020,21,162506617
2020,21,162511621
2020,21,162511645
2020,21,162511668
2020,21,162511744
2020,21,162511713
2020,21,162511850
2020,21,162506991
2020,21,162512113
2020,21,162512114
2020,21,162512155
2020,21,162512154
2020,21,162507366
2020,21,162512455
2020,21,162507542
2020,21,162507548
2020,21,162507611
2020,21,162512693
2020,21,162512782
2020,21,162512817
