"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41716791,134985707,1,29-AUG-20,2,"C",39,5,30,"M",1,2,"R","","",30,0
2020,41716824,134985895,1,24-MAY-20,2,"N",23,5,49,"M",2,2,"R","","",49,0
2020,41712476,134983264,1,03-MAR-20,1,"C",16,5,46,"M",1,2,"U","","",46,0
2020,41712506,134983382,1,05-MAR-20,1,"N",16,5,34,"M",2,2,"R","","",34,0
2020,41712573,134983699,1,21-DEC-20,3,"N",28,5,21,"M",2,2,"N","","",21,0
2020,41716458,134984164,1,22-AUG-20,1,"N",27,5,54,"F",2,,"R","","",54,0
2020,41712690,134986274,1,29-OCT-20,3,"N",51,5,33,"F",1,1,"U","","",33,0
2020,41713030,134987543,1,29-NOV-20,1,"N",27,5,26,"F",2,2,"R","","",26,0
2020,41713777,134993767,1,27-APR-20,1,"C",5,5,38,"M",1,2,"R","","",38,0
2020,41716839,134985958,1,03-OCT-20,1,"C",47,5,35,"M",1,2,"R","","",35,0
2020,41713168,134991310,1,31-MAY-20,1,"N",5,5,41,"M",2,2,"R","","",41,0
2020,41713250,134991679,1,23-OCT-20,1,"C",16,5,20,"M",2,2,"R","","",20,0
2020,41717136,134992508,1,20-JUN-20,1,"N",27,5,36,"M",2,2,"R","","",36,0
2020,41717148,134992618,1,30-NOV-20,3,"N",16,5,62,"M",1,2,"N","","",62,0
2020,41713497,134992743,1,27-DEC-20,3,"N",51,5,30,"M",2,2,"N","","",30,0
2020,41717227,134992992,1,30-JUN-20,2,"N",45,5,39,"F",2,2,"R","","",39,0
2020,41713651,134993330,1,08-APR-20,1,"C",5,5,46,"M",1,2,"R","","",46,0
2020,41717308,134993403,1,07-JAN-20,1,"N",45,5,51,"F",1,2,"R","","",51,0
2020,41717440,134994047,1,16-JAN-20,1,"N",16,5,55,"M",1,2,"R","","",55,0
2020,41713874,134994118,1,10-JUL-20,2,"N",23,5,47,"F",1,2,"R","","",47,0
2020,41713933,134990223,1,19-NOV-20,1,"C",51,5,31,"M",1,2,"R","","",31,0
2020,41717476,134994306,1,17-JUL-20,1,"N",16,5,35,"M",2,2,"R","","",35,0
2020,41713985,134990351,1,29-NOV-20,1,"C",51,5,13,"M",1,2,"R","R","",13,0
2020,41714029,134994586,1,26-JUL-20,1,"N",27,5,46,"F",2,2,"R","","",46,0
2020,41710494,134970116,1,24-JUN-20,2,"N",45,5,24,"F",2,2,"R","","",24,0
2020,41716879,134991155,1,10-OCT-20,1,"C",16,5,28,"M",2,2,"R","","",28,0
2020,41710713,134972432,1,10-AUG-20,1,"M",28,5,26,"F",1,2,"R","","",26,0
2020,41698181,134938451,1,07-MAY-20,2,"N",45,5,21,"F",2,2,"R","","",21,0
2020,41706487,134952754,1,07-JUN-20,1,"N",51,5,35,"M",1,2,"R","","",35,0
2020,41713186,134988047,1,19-OCT-20,3,"N",27,5,28,"M",2,2,"N","","",28,0
2020,41698183,134938451,2,07-MAY-20,2,"N",45,5,22,"M",2,2,"R","","",22,0
2020,41701870,134957021,1,25-DEC-20,2,"N",35,5,29,"F",1,2,"R","","",29,0
2020,41694214,134941297,3,01-JUL-20,1,"N",45,5,19,"F",2,2,"N","","",19,0
2020,41714777,134970157,1,23-AUG-20,2,"N",51,5,32,"M",1,1,"R","","",32,0
2020,41694330,134939042,1,03-APR-20,1,"N",51,5,38,"F",1,2,"R","","",38,0
2020,41694363,134939227,1,01-FEB-20,1,"N",51,5,38,"M",2,3,"","","",38,0
2020,41694378,134939263,2,08-APR-20,2,"N",23,5,35,"M",1,2,"R","","",35,0
2020,41694212,134941297,1,01-JUL-20,1,"N",45,5,18,"F",2,2,"N","","",18,0
2020,41694213,134941297,2,01-JUL-20,1,"N",45,5,19,"F",2,2,"N","","",19,0
2020,41694377,134939263,1,08-APR-20,2,"N",23,5,34,"F",1,2,"R","","",34,0
2020,41717005,134991764,1,29-OCT-20,3,"N",51,5,38,"M",1,2,"N","","",38,0
2020,41713267,134988340,1,24-OCT-20,1,"C",16,5,27,"F",1,2,"R","","",27,0
2020,41710571,134971895,1,16-SEP-20,3,"N",51,5,29,"M",2,2,"N","","",29,0
2020,41717013,134988340,2,24-OCT-20,1,"C",39,5,27,"M",1,2,"R","","",27,0
2020,41694385,134941832,1,28-MAY-20,2,"N",16,5,26,"M",2,2,"R","","",26,0
2020,41698454,134939407,1,11-APR-20,3,"N",5,5,22,"M",1,2,"R","","",22,0
2020,41698462,134941936,1,03-OCT-20,2,"N",27,5,53,"M",1,2,"N","","",53,0
2020,41710698,134972371,1,18-AUG-20,3,"C",45,5,42,"M",1,2,"R","","",42,0
