"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,136244018,134966812,4,,
2020,136244019,134966812,7,,
2020,136238078,134966862,7,,
2020,136238076,134966862,6,,
2020,136244057,134966862,5,,
2020,136244190,134966960,7,,
2020,136244191,134962347,7,,
2020,136238201,134967007,3,,
2020,136244274,134962435,7,,
2020,136244313,134967071,7,,
2020,136238274,134967080,4,,
2020,136244384,134967130,7,,
2020,136244399,134962563,7,,
2020,136244418,134967162,4,,
2020,136238374,134967191,7,,
2020,136238373,134967191,5,,
2020,136238509,134967333,6,,
2020,136238505,134967333,3,,
2020,136238562,134967418,4,,
2020,136238569,134967418,7,,
2020,136244952,134963179,7,,
2020,136245042,134963292,7,,
2020,136238737,134967622,1,,
2020,136245107,134967648,6,,
2020,136245112,134963359,6,,
2020,136245141,134967673,7,1,
2020,136245233,134967742,6,,
2020,136238869,134963501,6,,
2020,136245382,134967870,4,,
2020,136245393,134967870,7,,
2020,136245536,134963833,6,,
2020,136245570,134967966,6,,
2020,136239097,134967982,5,,1
2020,136239100,134967982,7,1,
2020,136245784,134964093,7,,
2020,136239427,134968361,7,,
2020,136239532,134964521,7,,
2020,136246078,134964521,4,,
2020,136239567,134964530,7,,
2020,136246240,134968555,4,,
2020,136246242,134968555,7,,
2020,136249748,134964776,3,,
2020,136246463,134964822,6,,
2020,136249800,134968740,7,,
2020,136249808,134968767,7,,
2020,136246529,134968779,7,,
2020,136246582,134964974,6,,
2020,136246706,134965127,7,,
2020,136249993,134965127,5,,
2020,136246748,134968998,7,,
2020,136246836,134965275,4,,
2020,136250170,134965341,7,1,
2020,136250227,134969199,4,,
2020,136247053,134969251,6,,
2020,136250319,134969302,7,,
2020,136247162,134965649,6,,
2020,136250365,134965649,7,,
2020,136247104,134965649,5,,
2020,136236421,134954948,4,,
2020,136236438,134954978,7,,
2020,136236442,134954984,7,,
2020,136241957,134955098,7,,
2020,136241956,134955098,5,,
2020,136236782,134955420,7,,
2020,136242275,134955445,7,,
2020,136242274,134955445,5,,
2020,136236925,134955588,7,,
2020,136236962,134955627,7,,
2020,136237024,134955693,7,,
2020,136237113,134955780,7,,
2020,136237201,134955872,7,,
2020,136242916,134960981,7,,
2020,136242913,134955934,5,,
2020,136237250,134955934,6,,
2020,136242922,134955951,1,,
2020,136237340,134956011,6,,
2020,136243052,134956060,7,,
2020,136237356,134956060,5,,
2020,136237355,134956060,4,,
2020,136243103,134961190,4,,
2020,136237562,134966266,4,,
2020,136237572,134961413,4,,
2020,136243381,134961480,5,,
2020,136243382,134961480,7,,
2020,136237723,134966460,7,,
2020,136237768,134966510,4,,
2020,136243716,134961827,7,,
2020,136237988,134962077,4,,
2020,136237995,134962077,7,,
2020,136243947,134966748,4,,
2020,136243980,134962119,4,,
2020,136244042,134966871,7,,
2020,136238142,134966925,5,,
2020,136238150,134962301,7,,
2020,136244198,134962356,7,,
2020,136244259,134962409,4,,
2020,136238380,134962644,7,,
2020,136244579,134967255,7,,
2020,136244717,134967380,7,,
2020,129536479,127377426,6,,
2020,129536484,127375415,7,,
2020,136238486,134967380,4,,
2020,136244818,134963056,7,1,
2020,136244850,134963055,4,,
2020,136244902,134967481,7,,
2020,136244968,134967557,6,,
2020,136244967,134967557,5,,
2020,136238693,134963232,7,,
2020,136238685,134963232,1,,
2020,136238731,134963289,7,,
2020,136245087,134967644,7,,
2020,136238818,134967688,7,,
2020,136238770,134967650,7,,
2020,136238853,134963477,7,,
2020,136238904,134963544,7,,
2020,136245269,134963544,5,,
2020,136238929,134967802,6,,
2020,136238946,134967825,6,,
2020,136239129,134968024,4,,
2020,136245662,134963972,7,,
2020,136239141,134963972,5,,
2020,136239174,134964000,7,,
2020,136239237,134964073,7,,
2020,136239235,134964073,4,,
2020,136239299,134964157,4,,
2020,136239373,134964270,7,,
2020,136239390,134968300,4,,
2020,136245947,134968300,1,,
2020,136245965,134968318,7,,
2020,136246028,134964396,7,,
2020,136246050,134964404,6,,
2020,136246095,134968434,7,,
2020,136246153,134964509,7,,
2020,136246162,134968483,1,,
2020,136246145,134968492,7,,
2020,136246144,134968492,4,,
2020,136246103,134964589,6,,
2020,136246254,134964683,6,,
2020,136249704,134964735,7,,
2020,136246412,134968700,7,,
2020,136246411,134968700,5,,
2020,136249779,134964854,4,,
2020,136246558,134968814,7,,
2020,136248843,134972643,1,,
2020,136250453,134965757,4,,
2020,136247321,134965849,4,,
2020,136247337,134965849,7,,
2020,136250614,134965965,6,,
2020,136247471,134969618,6,,
2020,136247486,134966026,7,,
2020,136247525,134969660,6,,
2020,136247707,134971299,4,,
2020,136250847,134971299,7,,
2020,136250919,134971454,6,,
2020,136247890,134971549,4,,
2020,136247924,134970017,7,,
2020,136251064,134971606,4,,
2020,136251113,134970092,7,,
2020,136251284,134971943,4,,
2020,136248251,134971943,1,,
2020,136251301,134971965,7,1,
2020,136251298,134971965,5,,1
2020,136251309,134971979,1,,
2020,136248286,134971979,4,,
2020,136251388,134970436,7,1,
2020,136251425,134970469,7,,
2020,136248445,134972217,6,,
2020,136251591,134970637,7,,
2020,136251612,134970676,4,,
2020,136248536,134970683,2,,
2020,136248572,134970725,7,1,
2020,136248629,134970780,7,,
2020,136251691,134970780,4,,
2020,136251715,134970786,7,1,
2020,136251705,134970786,5,,1
2020,136251728,134970802,7,,
2020,136251710,134970802,5,,
2020,136251757,134970837,7,,
2020,136251752,134970837,5,,
2020,136248666,134970842,5,,
