data_year,weapon_id,offense_id,nibrs_weapon_id
2022,2,193902112,
2022,42,193902113,
2022,1,193902210,
2022,3,193902211,
2022,39,182930538,
2022,32,195421332,
2022,41,190692745,
2022,41,184230913,
2022,41,192367973,
2022,42,193902048,
2022,41,197964948,
2022,39,199925745,
2022,42,195421132,
2022,38,195421267,
2022,5,195421290,
2022,41,197964894,
2022,3,197965441,
2022,38,197965445,
2022,41,202132014,
2022,41,181839534,
2022,38,181839534,
2022,41,190692812,
2022,41,181419104,
2022,41,188746211,
2022,41,184230689,
2022,41,182930583,
2022,41,185889682,
2022,31,188746283,
2022,41,182930471,
2022,3,193901969,
2022,5,193901969,
2022,7,193901969,
2022,5,195421057,
2022,6,195421057,
2022,42,197964978,
2022,42,193902081,
2022,3,195421178,
2022,3,193902021,
2022,3,197965052,
2022,41,192368184,
2022,3,192368186,
2022,3,195421138,
2022,41,181452496,
2022,3,199925527,
2022,41,181452499,
2022,41,181576584,
2022,38,181576584,
2022,41,181576586,
2022,38,185275134,
2022,41,187641057,
2022,38,187641045,
2022,3,197964890,
2022,3,193901937,
2022,1,197965334,
2022,3,202132008,
2022,38,195421059,
2022,21,193902033,
2022,3,202131807,
2022,3,199925703,
2022,3,202132018,
2022,3,195421036,
2022,41,181419046,
2022,41,190599648,
2022,41,190599647,
2022,41,192281526,
2022,3,193737216,
2022,41,193737215,
2022,41,197965266,
2022,41,184230868,
2022,1,181419044,
2022,2,181419035,
2022,41,182930481,
2022,41,182930553,
2022,41,184230817,
2022,41,188746176,
2022,41,188746134,
2022,3,181296583,
2022,41,181296573,
2022,41,181296576,
2022,41,181296589,
2022,4,181296571,
2022,41,181296592,
2022,41,181296578,
2022,42,181296572,
2022,41,181296618,
2022,41,181296616,
2022,4,181296620,
2022,41,181296609,
2022,41,181296606,
2022,41,181296598,
2022,4,181296626,
2022,7,181733308,
2022,41,181733311,
2022,41,197965382,
2022,37,197965382,
2022,41,184230687,
2022,41,197965172,
2022,37,197965172,
2022,41,188746183,
2022,21,181419140,
2022,8,181419129,
2022,41,188746238,
2022,41,182912566,
2022,41,181419093,
2022,41,190692900,
2022,4,182912579,
2022,41,188746218,
2022,41,190692876,
2022,41,184230864,
2022,41,181839588,
2022,42,188746275,
2022,41,188746277,
2022,41,190692752,
2022,41,195421223,
2022,21,193902099,
2022,41,193902100,
2022,31,188746223,
2022,3,181419159,
2022,21,188746198,
2022,41,188746122,
2022,41,181419114,
2022,3,181839550,
2022,3,181839470,
2022,41,190692791,
2022,31,190692792,
2022,38,190692792,
2022,41,181839488,
2022,3,195421187,
2022,3,184230670,
2022,41,181839516,
2022,21,197965398,
2022,41,197965399,
2022,38,184230914,
2022,41,182930401,
2022,41,181839595,
2022,41,181839540,
2022,41,181839451,
2022,41,182930374,
2022,41,197965330,
2022,37,197965330,
2022,38,182930362,
2022,41,182912568,
2022,41,181839445,
2022,41,184230748,
2022,41,188746153,
2022,38,188746165,
2022,3,193902164,
2022,41,181839572,
2022,21,184230773,
2022,42,195421023,
2022,7,185889737,
2022,32,185889738,
2022,41,182930456,
2022,41,188746197,
2022,41,185889336,
2022,41,181839409,
2022,41,182930379,
2022,3,195421103,
2022,41,185889588,
2022,41,188746174,
2022,38,188746174,
2022,41,195421063,
2022,41,195421224,
2022,41,181839430,
2022,41,181839471,
2022,38,190692891,
2022,32,188746237,
2022,31,197965167,
2022,41,184230736,
2022,41,182930460,
2022,41,182930359,
2022,41,188746224,
2022,41,182930511,
2022,31,185889497,
2022,41,184230915,
2022,41,188746093,
2022,41,182930501,
2022,41,182930467,
2022,41,182930496,
2022,41,188746249,
2022,41,202132072,
2022,41,184287138,
2022,41,184287147,
2022,41,182930489,
2022,41,182930415,
2022,41,184230731,
2022,41,182930509,
2022,7,184230801,
2022,38,184230677,
2022,41,197965086,
2022,37,197965086,
2022,41,182930448,
2022,21,190692903,
2022,41,184230732,
2022,41,184230652,
2022,41,190692776,
2022,38,184230877,
2022,38,184230706,
2022,41,188746241,
2022,1,193901993,
2022,41,193901994,
2022,41,185889712,
2022,41,184230685,
2022,41,190692886,
2022,41,184230854,
2022,41,184230669,
2022,38,197965237,
2022,41,184230816,
2022,41,190692805,
2022,41,190692806,
2022,3,184230847,
2022,3,193902092,
2022,38,184230904,
2022,41,184230875,
2022,5,188746291,
2022,41,192368193,
2022,41,197965025,
2022,41,193902115,
2022,41,193902123,
2022,41,185889485,
2022,41,192368192,
2022,41,184230799,
2022,3,185889422,
2022,1,185889423,
2022,3,184230890,
2022,41,188746099,
2022,42,197965001,
2022,41,192368129,
2022,41,184230912,
2022,41,190692840,
2022,37,197965454,
2022,41,185889552,
2022,41,185889600,
2022,41,185889411,
2022,41,190692925,
2022,41,185889708,
2022,41,193902078,
2022,39,197965141,
2022,31,185889398,
2022,21,185889327,
2022,21,185889328,
2022,3,193902051,
2022,41,185889270,
2022,41,185889310,
2022,41,197965103,
2022,4,184287156,
2022,37,197965104,
2022,41,185889676,
2022,41,193902087,
2022,41,185889657,
2022,41,185889268,
2022,41,185889503,
2022,41,184287120,
2022,38,184287119,
2022,4,184287150,
2022,3,188746063,
2022,4,184287152,
2022,41,185889619,
2022,41,184287117,
2022,1,185889332,
2022,3,192368104,
2022,41,185881387,
2022,36,202131784,
2022,41,185881375,
2022,1,185889660,
2022,21,185889660,
2022,3,188746212,
2022,1,185889316,
2022,4,185881458,
2022,41,190692842,
2022,41,185889480,
2022,3,195421197,
2022,41,185881450,
2022,3,197964912,
2022,41,202132016,
2022,38,185881424,
2022,41,185881444,
2022,21,185881418,
2022,7,185889594,
2022,3,185889464,
2022,41,199925609,
2022,3,188746066,
2022,3,188746067,
2022,38,185889414,
2022,41,188746265,
2022,32,188746230,
2022,39,188746309,
2022,41,188746227,
2022,41,192367989,
2022,39,195420997,
2022,41,188746253,
2022,3,195421186,
2022,41,195421322,
2022,38,188746278,
2022,41,188746188,
2022,1,195421336,
2022,2,195421336,
2022,38,197964953,
2022,41,197965457,
2022,41,188746080,
2022,41,188746081,
2022,41,192367944,
2022,38,199925573,
2022,41,193902011,
2022,32,188746264,
2022,38,188746232,
2022,38,188746268,
2022,41,190692870,
2022,41,190692871,
2022,41,188746156,
2022,41,188746228,
2022,41,188746229,
2022,41,193901958,
2022,41,192368028,
2022,42,195421299,
2022,4,187625389,
2022,41,187625368,
2022,42,195421300,
2022,41,190692803,
2022,41,192368200,
2022,41,192368101,
2022,42,190692799,
2022,41,193902148,
2022,41,190692779,
2022,41,192368102,
2022,41,190692777,
2022,41,193902067,
2022,41,190692821,
2022,41,190692929,
2022,38,190692717,
2022,41,190692845,
2022,41,190692738,
2022,38,192368029,
2022,38,190692849,
2022,41,197965076,
2022,41,190692940,
2022,32,190692833,
2022,41,190692834,
2022,41,192367994,
2022,41,199925505,
2022,1,195421026,
2022,42,195421091,
2022,38,192367982,
2022,42,199925556,
2022,41,192368056,
2022,41,197965418,
2022,41,192367897,
2022,3,199925584,
2022,41,192367878,
2022,41,195421298,
2022,41,192367895,
2022,41,195421047,
2022,4,187625383,
2022,41,195421210,
2022,41,195421015,
2022,41,187625398,
2022,41,192367907,
2022,31,199925525,
2022,38,187625402,
2022,38,192367840,
2022,41,192367972,
2022,41,192368020,
2022,41,187625374,
2022,41,187625373,
2022,4,192368012,
2022,38,187625390,
2022,1,192367901,
2022,41,192368077,
2022,31,192367946,
2022,41,189314391,
2022,7,192368043,
2022,3,193901950,
2022,3,193901951,
2022,3,193901953,
2022,41,195421028,
2022,38,192368132,
2022,41,192368252,
2022,41,192368055,
2022,41,192368140,
2022,41,192368039,
2022,21,192368098,
2022,41,195421008,
2022,41,192368109,
2022,21,202131872,
2022,41,197965238,
2022,39,192368167,
2022,41,199925566,
2022,3,199925516,
2022,41,192368106,
2022,5,192368044,
2022,41,192368139,
2022,41,197965203,
2022,3,197965204,
2022,41,193902015,
2022,41,193902190,
2022,41,192368113,
2022,41,192368115,
2022,41,193902034,
2022,41,193902215,
2022,38,197965340,
2022,41,197965341,
2022,1,193902019,
2022,41,193901992,
2022,41,193902141,
2022,4,193902040,
2022,41,193901960,
2022,3,193902166,
2022,41,197965192,
2022,1,197965220,
2022,41,193902195,
2022,39,193902122,
2022,38,193902217,
2022,41,193902178,
2022,41,193902024,
2022,41,193902127,
2022,31,193901945,
2022,41,193902097,
2022,38,195421181,
2022,3,197965474,
2022,41,193902145,
2022,41,193902018,
2022,1,193902076,
2022,41,193902126,
2022,41,189314361,
2022,41,193902180,
2022,42,202131974,
2022,41,189314385,
2022,42,197965166,
2022,41,197965387,
2022,41,197965388,
2022,37,197965388,
2022,41,197965389,
2022,41,195421220,
2022,41,197965471,
2022,41,195421006,
2022,1,193902208,
2022,41,197965132,
2022,41,195421150,
2022,3,197965401,
2022,38,195421096,
2022,41,195421205,
2022,39,197965101,
2022,41,195421093,
2022,41,195421244,
2022,41,197965351,
2022,38,199925524,
2022,41,189314379,
2022,42,202131884,
2022,41,195421241,
2022,38,189314353,
2022,41,195421010,
2022,3,195421092,
2022,41,197965437,
2022,41,195421185,
2022,38,195421142,
2022,41,195421331,
2022,41,199925580,
2022,3,197964960,
2022,41,195421003,
2022,41,199925642,
2022,41,199925727,
2022,1,197965160,
2022,41,195421303,
2022,41,197965356,
2022,41,197965174,
2022,41,197965451,
2022,38,197965452,
2022,3,197965071,
2022,41,197965293,
2022,39,197965455,
2022,41,195421050,
2022,41,197965416,
2022,42,199925554,
2022,41,197965152,
2022,41,195421191,
2022,41,197964938,
2022,41,180317317,
2022,4,189314365,
2022,4,189314358,
2022,41,180317318,
2022,41,180317316,
2022,41,189314378,
2022,4,189314376,
2022,41,192279191,
2022,41,192279185,
2022,41,192279173,
2022,42,192279183,
2022,38,192279199,
2022,38,192279175,
2022,41,180317315,
2022,4,181756086,
2022,41,192279197,
2022,4,192279188,
2022,41,192279206,
2022,41,181756082,
2022,41,183728101,
2022,41,192279204,
2022,41,183728089,
2022,41,183728100,
2022,41,185551480,
2022,41,185551483,
2022,41,185551478,
2022,4,185551477,
2022,41,187352021,
2022,41,187352025,
2022,41,187777004,
2022,41,187777006,
2022,41,187776999,
2022,38,187776996,
2022,41,189768340,
2022,41,193768753,
2022,4,193768751,
2022,4,193768735,
2022,41,193768745,
2022,4,193768755,
2022,41,193768756,
2022,41,193768732,
2022,6,195449318,
2022,41,195449311,
2022,41,195449325,
2022,38,195449313,
2022,38,195449331,
2022,4,195449316,
2022,41,195449320,
2022,41,189768329,
2022,41,190771025,
2022,41,190771024,
2022,41,192455321,
2022,41,192455322,
2022,41,194251333,
2022,4,194251335,
2022,41,194251330,
2022,41,195368688,
2022,41,195368692,
