data_year,suspect_using_id,offense_id
2022,4,197965297
2022,3,197965415
2022,4,188746235
2022,4,195421232
2022,4,193902222
2022,4,193902112
2022,4,193902113
2022,4,181419131
2022,4,193902210
2022,4,193902211
2022,4,184230910
2022,4,185889306
2022,4,184230694
2022,4,184230695
2022,4,182930485
2022,4,181839494
2022,4,195421160
2022,4,182930383
2022,4,182930538
2022,4,182930493
2022,4,185889727
2022,4,184230894
2022,4,197965231
2022,4,181452496
2022,4,192368049
2022,4,181452500
2022,4,181452501
2022,4,181452499
2022,4,181452497
2022,4,181452498
2022,4,181452502
2022,4,181452505
2022,3,181452504
2022,4,181452503
2022,4,181576584
2022,3,181576582
2022,4,181576583
2022,4,181576586
2022,4,181576585
2022,4,181576581
2022,4,182885112
2022,4,182885113
2022,4,195421332
2022,4,185275130
2022,4,185275129
2022,4,185275133
2022,4,185275134
2022,4,185275128
2022,4,185275131
2022,4,185275132
2022,4,186117494
2022,4,186117491
2022,4,186117496
2022,4,186117488
2022,4,186117489
2022,4,186117492
2022,4,186117486
2022,4,186117487
2022,4,187641056
2022,4,187641042
2022,4,187641043
2022,4,187641049
2022,4,187641050
2022,4,187641044
2022,4,187641057
2022,4,187641045
2022,4,187641046
2022,3,187641048
2022,4,187641058
2022,4,190692745
2022,4,189184004
2022,4,190599649
2022,4,190599648
2022,4,190599647
2022,4,192281525
2022,4,184230889
2022,4,195421180
2022,4,192281526
2022,4,192281529
2022,4,192281527
2022,4,184230913
2022,4,185889358
2022,3,185889285
2022,3,185889286
2022,4,185889614
2022,4,193737214
2022,4,195421024
2022,4,193737216
2022,4,193737217
2022,1,193737215
2022,4,185889309
2022,4,188746104
2022,4,190692861
2022,4,192367892
2022,4,192367893
2022,4,192367894
2022,4,192367973
2022,4,193902220
2022,4,193902048
2022,4,197965037
2022,4,195421173
2022,4,195421242
2022,4,190692814
2022,4,195485339
2022,4,192368258
2022,3,195484884
2022,4,190692867
2022,4,197964948
2022,4,199925682
2022,4,199925745
2022,4,202131832
2022,4,195421132
2022,4,195421267
2022,4,195485449
2022,4,181296580
2022,4,181296584
2022,1,181296581
2022,4,181296593
2022,4,181296594
2022,4,181296583
2022,4,181296573
2022,4,181296576
2022,3,181296589
2022,4,181296588
2022,3,181296570
2022,3,181296571
2022,4,181296591
2022,4,181296592
2022,3,181296567
2022,4,181296578
2022,4,181296587
2022,1,181296572
2022,4,181296585
2022,3,181296605
2022,3,181296601
2022,3,181296618
2022,3,181296621
2022,3,181296622
2022,3,192368237
2022,4,199925587
2022,4,193902203
2022,4,193902204
2022,4,197965300
2022,4,192368231
2022,4,202132094
2022,4,181296625
2022,3,181296599
2022,3,181296616
2022,3,181296617
2022,4,193902003
2022,4,193901997
2022,4,197965169
2022,4,195421329
2022,4,181296614
2022,3,181296619
2022,3,181296620
2022,3,181296613
2022,4,181296624
2022,3,181296612
2022,4,199925613
2022,4,181296596
2022,4,181296610
2022,4,181296609
2022,3,181296602
2022,3,181296603
2022,4,181296606
2022,4,181296598
2022,4,181296626
2022,3,181296607
2022,3,181733304
2022,3,181733305
2022,4,181733308
2022,4,181733317
2022,4,181733311
2022,3,181733314
2022,3,181733315
2022,3,181733309
2022,3,181733312
2022,4,181733302
2022,4,181733310
2022,3,181733316
2022,4,181733318
2022,4,181733303
2022,3,181733313
2022,4,181733307
2022,4,181733306
2022,4,182912571
2022,4,182912581
2022,4,182912570
2022,4,182912577
2022,3,182912558
2022,3,182912565
2022,4,182912572
2022,1,182912566
2022,3,182912580
2022,4,182912567
2022,4,195421275
2022,3,182912557
2022,4,182912564
2022,3,182912561
2022,3,182912562
2022,4,195421290
2022,3,182912559
2022,4,195421291
2022,3,182912560
2022,4,195421292
2022,3,182912574
2022,4,195421133
2022,4,182912569
2022,1,197964894
2022,3,182912578
2022,3,182912579
2022,4,195421216
2022,4,182912568
2022,3,182912575
2022,3,197965441
2022,4,182912573
2022,3,197965442
2022,4,182912556
2022,4,197965445
2022,4,182912576
2022,4,197965249
2022,3,182912563
2022,4,197965190
2022,4,202132014
2022,4,181839534
2022,4,190692812
2022,4,181419104
2022,4,188746211
2022,4,184230830
2022,4,193902185
2022,4,184230689
2022,4,182930583
2022,3,185889493
2022,4,185889682
2022,4,199925521
2022,4,188746283
2022,3,195421221
2022,4,202131818
2022,4,181419160
2022,3,197965476
2022,4,197965477
2022,4,197965478
2022,3,197965079
2022,3,181419134
2022,3,181419135
2022,3,181419136
2022,3,181419182
2022,4,199925569
2022,3,184287159
2022,4,184287135
2022,4,184287138
2022,4,184287147
2022,4,182930380
2022,3,195421086
2022,3,195421087
2022,3,195421088
2022,3,181839596
2022,4,199925534
2022,4,199925546
2022,4,199925547
2022,3,197965448
2022,4,199925686
2022,4,193902045
2022,3,199925585
2022,4,202131831
2022,3,197965161
2022,3,197965061
2022,4,197964950
2022,4,193902198
2022,4,202131993
2022,3,202132090
2022,3,195421202
2022,3,195421203
2022,3,195421204
2022,3,197965073
2022,4,182930471
2022,3,195421288
2022,3,199925725
2022,4,197965088
2022,4,197965089
2022,3,193902162
2022,3,184230809
2022,4,197965256
2022,3,197965390
2022,4,185889689
2022,4,185889293
2022,4,185889294
2022,3,197965311
2022,4,193902125
2022,4,193902181
2022,3,185889400
2022,3,185889401
2022,4,193901969
2022,4,193901970
2022,4,193901971
2022,3,188746136
2022,3,193902167
2022,3,197965074
2022,1,184287129
2022,3,193902129
2022,4,199925531
2022,4,184287156
2022,4,199925532
2022,4,184287136
2022,3,188746092
2022,3,184287154
2022,3,195421152
2022,4,184287131
2022,3,195421153
2022,3,184287155
2022,4,202132109
2022,4,184287118
2022,4,202132110
2022,3,184287149
2022,3,193902118
2022,4,184287163
2022,4,197965380
2022,4,184287164
2022,3,184287157
2022,4,197965381
2022,3,184287158
2022,3,202131849
2022,3,184287161
2022,3,184287162
2022,4,185889701
2022,4,184287120
2022,3,202132115
2022,4,184287119
2022,3,197964980
2022,4,184287145
2022,4,184287146
2022,3,202131850
2022,4,184287140
2022,4,192368126
2022,4,184287128
2022,3,184287148
2022,3,197964928
2022,3,184287126
2022,3,184287127
2022,3,195421149
2022,3,184287143
2022,3,184287144
2022,1,184287150
2022,1,184287151
2022,1,184287152
2022,4,192368037
2022,1,184287117
2022,3,197965223
2022,4,184287122
2022,3,188746094
2022,4,184287133
2022,3,188746095
2022,4,184287123
2022,3,197965283
2022,3,197965284
2022,4,188746187
2022,4,185881432
2022,4,195421054
2022,4,185881417
2022,4,195421055
2022,4,195421056
2022,4,185881452
2022,4,195421057
2022,3,188746234
2022,4,185881387
2022,3,197964984
2022,4,185881434
2022,3,193902002
2022,3,185881373
2022,3,185881374
2022,3,185881375
2022,3,197964970
2022,4,185881429
2022,3,197965241
2022,4,185881408
2022,3,202131897
2022,4,185881414
2022,3,188746068
2022,1,185881391
2022,3,188746069
2022,3,185881428
2022,3,193902218
2022,4,185881462
2022,3,197965013
2022,3,185881458
2022,3,185881459
2022,3,197964976
2022,4,185881456
2022,3,197964977
2022,4,185881435
2022,3,197964978
2022,4,193902080
2022,3,185881440
2022,3,185881441
2022,4,193902081
2022,4,185881431
2022,4,193902082
2022,3,192368153
2022,3,185881410
2022,3,197965023
2022,4,185881425
2022,4,185881368
2022,3,190692810
2022,4,185881450
2022,4,185881413
2022,3,185881398
2022,3,185881399
2022,4,185881394
2022,3,185881380
2022,3,185881439
2022,4,185881370
2022,4,185881445
2022,1,185881378
2022,4,185881405
2022,4,185881402
2022,3,185881424
2022,1,185881443
2022,1,185881444
2022,1,185881418
2022,3,185881448
2022,3,187625377
2022,4,187625392
2022,3,187625394
2022,3,187625395
2022,3,187625388
2022,3,187625389
2022,4,187625368
2022,3,187625376
2022,4,187625381
2022,4,187625378
2022,4,187625375
2022,3,187625400
2022,4,187625383
2022,4,187625398
2022,3,187625384
2022,3,187625369
2022,4,187625385
2022,4,187625404
2022,4,187625403
2022,4,187625402
2022,3,187625370
2022,3,187625371
2022,4,187625393
2022,4,187625374
2022,4,187625373
2022,4,187625390
2022,3,187625396
2022,3,187625397
2022,4,187625379
2022,4,187625386
2022,4,187625391
2022,4,187625382
2022,3,187625380
2022,4,187625387
2022,4,187625399
2022,3,189314380
2022,3,189314381
2022,4,189314391
2022,4,189314384
2022,4,189314351
2022,4,189314389
2022,4,189314390
2022,4,189314393
2022,4,189314361
2022,4,189314383
2022,3,189314385
2022,4,189314379
2022,4,189314355
2022,4,189314362
2022,4,189314363
2022,4,189314392
2022,3,189314386
2022,4,189314353
2022,3,189314373
2022,3,189314388
2022,3,189314364
2022,3,189314365
2022,4,189314374
2022,4,189314354
2022,3,189314356
2022,3,189314357
2022,3,189314358
2022,4,189314378
2022,4,189314372
2022,4,189314370
2022,4,189314377
2022,4,189314368
2022,4,189314395
2022,4,189314396
2022,4,189314359
2022,4,189314352
2022,3,189314366
2022,3,189314367
2022,3,189314387
2022,4,189314369
2022,4,189314394
2022,3,189314360
2022,4,189314382
2022,3,189314375
2022,3,189314376
2022,4,189314371
2022,3,197965235
2022,3,197964999
2022,3,197964971
2022,3,197964972
2022,3,197965111
2022,3,197965112
2022,3,195421176
2022,3,195421177
2022,3,195421178
2022,3,199925542
2022,3,199925539
2022,3,197965138
2022,3,197965329
2022,3,202131942
2022,3,202131943
2022,4,197964897
2022,4,197964898
2022,3,190692755
2022,3,195421111
2022,3,195421112
2022,3,193902021
2022,3,193902022
2022,3,192368264
2022,3,197965139
2022,3,197965259
2022,3,197965260
2022,3,197965050
2022,3,197965051
2022,3,197965052
2022,3,195421012
2022,3,195421013
2022,3,197965250
2022,3,197965251
2022,3,197965135
2022,3,197965136
2022,3,197965053
2022,3,192368171
2022,3,197965253
2022,3,202131931
2022,4,192368184
2022,4,192368185
2022,4,192368186
2022,4,192368187
2022,4,192368188
2022,3,202131805
2022,3,199925643
2022,3,202132017
2022,3,195421136
2022,3,195421137
2022,3,195421138
2022,3,195421139
2022,3,199925614
2022,4,197965126
2022,4,197965127
2022,3,197965407
2022,3,197965034
2022,3,202131803
2022,3,199925526
2022,3,199925527
2022,3,197964889
2022,3,197964890
2022,3,197964891
2022,3,197965095
2022,3,192368190
2022,3,192368191
2022,3,199925599
2022,3,202132057
2022,4,192279191
2022,3,192279178
2022,4,192279174
2022,4,192279185
2022,4,192279173
2022,1,192279196
2022,3,192279196
2022,4,192279183
2022,4,192279198
2022,4,192279199
2022,4,192279189
2022,4,192279193
2022,4,192279175
2022,4,192279201
2022,4,192279184
2022,3,192279200
2022,4,192279192
2022,3,192279181
2022,3,192279182
2022,3,192279176
2022,3,192279177
2022,3,192279190
2022,3,192279179
2022,3,192279180
2022,4,192279172
2022,4,192279197
2022,4,192279194
2022,4,192279202
2022,4,192279195
2022,3,192279186
2022,3,192279187
2022,3,192279188
2022,4,192279224
2022,4,192279218
2022,4,192279211
2022,4,192279222
2022,1,192279206
2022,3,192279207
2022,3,192279208
2022,3,192279223
2022,4,192279214
2022,4,192279219
2022,3,192279220
2022,3,192279221
2022,3,192279216
2022,4,192279204
2022,4,192279203
2022,4,192279215
2022,4,192279225
2022,4,192279217
2022,3,192279205
2022,3,192279209
2022,3,192279210
2022,3,192279212
2022,3,192279213
2022,3,202132058
2022,3,199925731
2022,3,199925732
2022,3,197965319
2022,3,202132091
2022,3,202132092
2022,3,202132093
2022,3,193901936
2022,3,193901937
2022,4,197964987
2022,3,193901957
2022,3,197965314
2022,3,197965315
2022,3,197965316
2022,3,197965333
2022,3,197965334
2022,3,197965335
2022,3,197965394
2022,3,202132008
2022,3,202132009
2022,4,195421059
2022,3,202132030
2022,3,202131977
2022,3,202131848
2022,4,193902196
2022,3,202131885
2022,3,193902031
2022,3,193902032
2022,3,193902033
2022,3,199925541
2022,4,202131807
2022,3,199925700
2022,3,199925701
2022,3,199925702
2022,3,199925703
2022,3,199925704
2022,4,202132018
2022,4,202132019
2022,3,193902154
2022,3,193902025
2022,3,193902026
2022,3,199925606
2022,3,199925607
2022,3,199925608
2022,3,197965068
2022,3,197965094
2022,3,195421294
2022,3,195421295
2022,3,197965355
2022,3,202131960
2022,3,195421035
2022,3,195421036
2022,3,197965128
2022,3,197965129
2022,1,195421154
2022,3,195421154
2022,3,195421228
2022,3,195421229
2022,3,199925617
2022,4,197965254
2022,3,197965264
2022,3,197965265
2022,3,195421005
2022,3,195421296
2022,4,193768743
2022,4,193768741
2022,4,193768753
2022,3,193768746
2022,4,193768747
2022,4,193768742
2022,4,193768751
2022,4,193768730
2022,4,193768752
2022,4,193768737
2022,4,193768750
2022,4,193768733
2022,4,193768734
2022,4,193768735
2022,1,193768736
2022,3,195421297
2022,4,193768739
2022,4,193768731
2022,3,195421337
2022,3,193768748
