data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,171564423,176348793,1,
2022,174409022,179170105,3,
2022,181066484,185732033,25,
2022,181066484,185732034,1,
2022,181066485,185732033,1,
2022,181066485,185732034,25,
2022,181066640,185732175,25,
2022,181066640,185732176,1,
2022,181066641,185732175,1,
2022,181066641,185732176,25,
2022,167517435,172343064,1,
2022,167517475,172343103,21,
2022,176355146,181089113,21,
2022,174409092,179170169,3,
2022,183606574,188246882,3,
2022,169901264,174709072,21,
2022,168604243,173420215,1,
2022,174409079,179170156,18,
2022,168604287,173420257,21,
2022,171564326,176348701,1,
2022,171564326,176348702,1,
2022,171564326,176348703,1,
2022,171564326,176348704,1,
2022,169901433,174709231,9,
2022,174408938,179170028,25,
2022,174408938,179170029,3,
2022,174408939,179170028,3,
2022,174408939,179170029,25,
2022,168604278,173420249,3,
2022,168604247,173420219,3,
2022,168604274,173420245,3,
2022,174409105,179170179,13,
2022,187751397,192336162,18,
2022,177930965,182638398,11,
2022,168604267,173420238,3,
2022,181066616,185732152,6,
2022,168604200,173420176,20,
2022,169901257,174709067,6,
2022,168604285,173420255,3,
2022,169901328,174709124,14,
2022,169901210,174709021,17,
2022,183606498,188246806,3,
2022,168604233,173420205,1,
2022,177930973,182638406,16,
2022,176355160,181089122,1,
2022,177930986,182638420,21,
2022,169901258,174709068,16,
2022,177930968,182638401,9,
2022,169901259,174709068,16,
2022,169901191,174709001,21,
2022,176355023,181088998,1,
2022,169901397,174709196,1,
2022,169901237,174709046,14,
2022,177930985,182638419,26,
2022,174409097,179170174,25,
2022,174409097,179170175,3,
2022,174409098,179170174,3,
2022,174409098,179170175,25,
2022,179547555,184232921,18,
2022,179547556,184232921,19,
2022,171564556,176348928,9,
2022,177930993,182638428,3,
2022,169901218,174709030,9,
2022,176355140,181089108,13,
2022,177930991,182638426,3,
2022,176355140,181089109,3,
2022,176355141,181089108,25,
2022,176355141,181089109,17,
2022,176355142,181089108,5,
2022,176355142,181089109,25,
2022,169901374,174709174,17,
2022,169901203,174709015,21,
2022,183606640,188246950,17,
2022,169901342,174709140,17,
2022,176355054,181089028,1,
2022,169901368,174709168,24,
2022,169901420,174709219,11,
2022,169901395,174709194,17,
2022,178017045,182723810,3,
2022,183606440,188246745,3,
2022,179547657,184233016,3,
2022,179547664,184233023,3,
2022,171564315,176348689,20,
2022,178017044,182723809,17,
2022,169901326,174709122,17,
2022,171564250,176348620,18,
2022,171564250,176348621,18,
2022,171564251,176348620,18,
2022,171564251,176348621,18,
2022,169901407,174709206,24,
2022,174408944,179170034,25,
2022,174408944,179170035,19,
2022,174408945,179170034,19,
2022,174408945,179170035,25,
2022,183606417,188246720,19,
2022,178016989,182723756,3,
2022,169901430,174709228,16,
2022,176355088,181089065,15,
2022,176355089,181089065,3,
2022,183606841,188247145,3,
2022,181066419,185731969,17,
2022,171564385,176348758,21,
2022,171564436,176348807,3,
2022,171564239,176348611,11,
2022,176355180,181089139,17,
2022,171564552,176348923,8,
2022,179547628,184232990,3,
2022,183606547,188246858,1,
2022,171564228,176348600,14,
2022,171564165,176348538,6,
2022,171564115,176348488,18,
2022,171564115,176348489,18,
2022,171564115,176348490,18,
2022,171564116,176348488,18,
2022,171564116,176348489,18,
2022,171564116,176348490,18,
2022,171564117,176348488,18,
2022,171564117,176348489,18,
2022,171564117,176348490,18,
2022,171564149,176348523,17,
2022,183606515,188246823,21,
2022,171564520,176348891,3,
2022,179547633,184232996,17,
2022,171564502,176348872,17,
2022,171564112,176348486,3,
2022,171564332,176348713,1,
2022,171564333,176348713,1,
2022,174408899,179169998,24,
2022,174408899,179169999,16,
2022,174408899,179170000,16,
2022,174408899,179170001,16,
2022,174408900,179169998,18,
2022,174408900,179169999,16,
2022,174408900,179170000,16,
2022,174408900,179170001,16,
2022,174408901,179169998,18,
2022,174408901,179169999,16,
2022,174408901,179170000,16,
2022,174408901,179170001,16,
2022,174408902,179169998,24,
2022,174408902,179169999,16,
2022,174408902,179170000,16,
2022,174408902,179170001,16,
2022,174409111,179170183,24,
2022,171564454,176348832,21,
2022,171564168,176348541,1,
2022,178016966,182723733,14,
2022,187751140,192335908,1,
2022,171564154,176348528,1,
2022,179413599,184102745,21,
2022,176355091,181089067,5,
2022,176355092,181089067,21,
2022,171564310,176348683,3,
2022,183606331,188246637,1,
2022,183606331,188246638,1,
2022,187751353,192336116,5,
2022,171564295,176348668,3,
2022,185565092,190177972,17,
2022,185565092,190177973,21,
2022,185565093,190177972,21,
2022,185565093,190177973,15,
2022,185565094,190177972,19,
2022,185565094,190177973,22,
2022,174408905,179170005,1,
2022,174408906,179170005,1,
2022,171564242,176348614,1,
2022,174409122,179170193,25,
2022,174409122,179170194,21,
2022,174409123,179170193,21,
2022,174409123,179170194,25,
2022,174409085,179170162,9,
2022,174409170,179170234,5,
2022,174409082,179170159,25,
2022,174409082,179170160,3,
2022,174409083,179170159,3,
2022,174409083,179170160,25,
2022,178016846,182723614,3,
2022,181066418,185731968,17,
2022,174409109,179170182,17,
2022,174409110,179170182,22,
2022,181066732,185732264,18,
2022,174409059,179170136,1,
2022,174409138,179170206,5,
2022,179413591,184102737,3,
2022,179413600,184102746,17,
2022,174409040,179170120,16,
2022,179413580,184102722,24,
2022,174409041,179170120,16,
2022,174409042,179170120,16,
2022,183606371,188246677,24,
2022,183606372,188246677,18,
2022,183606373,188246677,18,
2022,183606845,188247151,3,
2022,174408919,179170016,21,
2022,181094519,185759610,17,
2022,181094503,185759596,17,
2022,181094504,185759596,13,
2022,181094516,185759607,17,
2022,181094506,185759598,24,
2022,181094507,185759598,24,
2022,178016803,182723579,21,
2022,181094514,185759605,24,
2022,178017017,182723783,5,
2022,181094521,185759612,1,
2022,181094512,185759603,16,
2022,185565057,190177942,25,
2022,185565057,190177943,1,
2022,185565058,190177942,1,
2022,185565058,190177943,25,
2022,179547573,184232938,17,
2022,174409121,179170192,3,
2022,174409087,179170164,17,
2022,174409127,179170197,3,
2022,176355124,181089094,19,
2022,176355125,181089094,17,
2022,174409006,179170089,5,
2022,174409084,179170161,5,
2022,178016711,182723483,16,
2022,178016712,182723483,16,
2022,179547524,184232891,3,
2022,178016885,182723653,1,
2022,181066711,185732242,5,
2022,176355052,181089026,20,
2022,178017050,182723817,3,
