data_year,victim_id,injury_id
2022,179547654,4
2022,179547751,5
2022,168604312,5
2022,167131109,5
2022,167131111,5
2022,167253406,4
2022,167253407,4
2022,167253409,5
2022,170948911,4
2022,168604313,5
2022,181066741,5
2022,173303709,4
2022,173303698,4
2022,176263651,5
2022,176263650,4
2022,176354998,5
2022,169901431,5
2022,177933167,5
2022,178016830,5
2022,179381901,5
2022,179381900,4
2022,179547600,5
2022,179547601,5
2022,183606365,5
2022,185565218,6
2022,181066549,4
2022,181066679,5
2022,183606318,5
2022,166979398,5
2022,166979388,4
2022,166979391,5
2022,166979404,4
2022,166979407,5
2022,166979393,4
2022,166979432,4
2022,166979430,4
2022,166979423,4
2022,166979420,4
2022,166979413,4
2022,166979438,4
2022,183606832,4
2022,187751351,5
2022,167517538,5
2022,167517539,5
2022,176355060,1
2022,167097497,4
2022,174409064,4
2022,174409065,4
2022,169901223,4
2022,167411854,4
2022,167411857,5
2022,168604362,5
2022,171564527,4
2022,174409144,4
2022,168604251,5
2022,168586549,3
2022,168586551,5
2022,169958352,5
2022,169958359,5
2022,178017038,5
2022,169958367,5
2022,178017039,5
2022,181066481,5
2022,167097434,5
2022,169958335,5
2022,169958334,4
2022,169958362,4
2022,183606666,2
2022,169901389,4
2022,169958332,4
2022,171556499,5
2022,171556484,5
2022,171556560,5
2022,171556536,5
2022,171556554,4
2022,171556530,4
2022,173288356,5
2022,173288370,5
2022,173288382,5
2022,173288386,5
2022,173288361,5
2022,173288360,5
2022,173288376,5
2022,174976100,5
2022,174976076,5
2022,167097425,5
2022,174976095,5
2022,174976090,4
2022,167097426,5
2022,167097427,5
2022,167097428,5
2022,167097429,5
2022,167097430,5
2022,167097415,5
2022,174976070,5
2022,174976089,5
2022,177930979,5
2022,177930975,5
2022,177930965,5
2022,177930973,5
2022,177930986,4
2022,177930968,5
2022,177930985,4
2022,177930993,4
2022,177930991,5
2022,167097416,5
2022,167097417,5
2022,168604260,4
2022,168604330,5
2022,169901343,5
2022,174409024,4
2022,179413599,4
2022,179413591,5
2022,179413600,5
2022,179413580,5
2022,181094503,5
2022,181094504,5
2022,181094516,5
2022,181094506,5
2022,181094507,5
2022,181094521,5
2022,181094512,4
2022,174408981,5
2022,174408982,4
2022,174408983,5
2022,183606774,2
2022,169901221,4
2022,183606580,2
2022,174409034,4
2022,174409035,4
2022,167097534,5
2022,174409093,5
2022,174409094,4
2022,167097485,5
2022,176355157,4
2022,174409072,4
2022,174409073,4
2022,176355130,8
2022,169901385,4
2022,167517593,4
2022,174409135,5
2022,174409136,4
2022,174409137,4
2022,176355004,5
2022,181066639,5
2022,179547642,4
2022,179547643,5
2022,179547644,5
2022,174409078,5
2022,174409052,5
2022,174409053,5
2022,174408969,4
2022,174408970,4
2022,174408971,4
2022,167097506,4
2022,167517556,3
2022,167517474,5
2022,176355039,5
2022,176355040,3
2022,176355040,6
2022,176355041,4
2022,167517491,4
2022,181066606,5
2022,181066607,5
2022,169901204,5
2022,169901205,5
2022,167517518,5
2022,183606792,4
2022,183606793,4
2022,169901432,4
2022,168604185,5
2022,168604186,5
2022,167517600,5
2022,167517544,5
2022,167517545,5
2022,167517546,5
2022,167517452,5
2022,168604157,5
2022,183606723,2
2022,168604143,4
2022,167517447,4
2022,169901273,4
2022,174409002,5
2022,174409003,5
2022,174409014,5
2022,167517575,5
2022,169901300,5
2022,181066446,5
2022,171564581,5
2022,171564582,5
2022,168604240,6
2022,174409050,5
2022,174409051,5
2022,171564172,5
2022,167517415,4
2022,168604163,4
2022,168604164,4
2022,181066521,5
2022,181066522,5
2022,181066523,5
2022,171564423,4
2022,174409022,4
2022,181066484,5
2022,181066485,5
2022,181066640,5
2022,181066641,5
2022,167517435,5
2022,167517475,4
2022,176355146,4
2022,174409092,4
2022,183606574,4
2022,169901264,4
2022,168604243,4
2022,168604140,5
2022,174409079,5
2022,168604287,5
2022,171564326,4
2022,169901433,5
2022,174408938,5
2022,174408939,5
2022,168604278,4
2022,168604247,4
2022,168604274,5
2022,174409105,5
2022,187751397,5
2022,168604267,4
2022,168604200,5
2022,169901257,4
2022,168604285,4
2022,169901328,5
2022,169901210,4
2022,183606498,2
2022,168604233,4
2022,176355160,5
2022,169901258,5
2022,169901259,4
2022,169901191,4
2022,176355023,1
2022,169901397,5
2022,169901237,5
2022,174409097,5
2022,174409098,4
2022,179547555,5
2022,179547556,5
2022,171564556,5
2022,169901218,5
2022,176355140,4
2022,176355141,4
2022,176355142,5
2022,169901374,4
2022,169901203,4
2022,183606640,5
2022,169901342,4
2022,176355054,5
2022,169901368,5
2022,169901420,4
2022,169901395,5
2022,165997534,5
2022,178017045,5
2022,165997718,4
2022,165997719,4
2022,183606440,8
2022,179547657,5
2022,179547664,5
2022,171564315,5
2022,178017044,4
2022,169901326,4
2022,171564250,5
2022,171564251,5
2022,169901407,5
2022,165998416,4
2022,165998417,4
2022,165997741,4
2022,174408944,5
2022,174408945,5
2022,183606417,6
2022,178016989,5
2022,169901430,4
2022,176355088,4
2022,165997764,4
2022,176355089,4
2022,183606841,2
2022,171564385,5
2022,171564436,4
2022,171564239,4
2022,176355180,4
2022,171564552,5
2022,179547628,5
2022,183606547,5
2022,171564228,5
2022,171564165,5
2022,171564115,5
2022,171564116,5
2022,171564117,5
2022,171564149,4
2022,183606515,2
2022,171564520,5
2022,179547633,5
2022,171564502,5
2022,171564112,4
2022,171564332,4
2022,171564333,5
2022,174408899,5
2022,174408900,5
2022,174408901,5
2022,174408902,5
2022,171564454,4
2022,171564168,5
2022,178016966,5
2022,171564505,3
2022,171564506,3
2022,171564154,5
2022,176355091,4
2022,176355092,4
2022,171564310,5
2022,187751353,4
2022,171564295,4
2022,185565092,5
2022,185565093,4
2022,185565094,5
2022,174408905,4
2022,174408906,5
2022,171564242,4
2022,174409122,5
2022,174409123,5
2022,174409085,8
2022,174409170,5
2022,174409082,4
2022,174409083,4
2022,178016846,4
2022,165997714,4
2022,181066418,5
2022,174409109,5
2022,174409110,4
2022,181066732,5
2022,174409138,4
2022,174409040,4
2022,174409041,5
2022,174409042,4
2022,183606371,4
2022,183606372,4
2022,183606373,5
2022,183606845,5
2022,174408919,4
2022,178016803,4
2022,185565057,5
2022,185565058,4
2022,179547573,5
2022,174409121,5
2022,174409087,5
2022,174409127,5
2022,176355124,5
2022,176355125,3
2022,174409006,4
2022,174409084,4
2022,179547524,5
2022,178016885,5
2022,181066711,2
2022,176355052,4
2022,178017050,5
2022,178016962,5
2022,176355048,5
2022,179547687,4
2022,176355028,5
2022,178016963,5
2022,178016964,5
2022,176355024,4
2022,176355025,5
2022,179547619,4
2022,176355069,4
2022,176355185,4
2022,176354971,4
2022,176354972,5
2022,176355095,1
2022,176355096,1
2022,176354991,4
2022,178016886,5
2022,176355100,5
2022,165998245,5
2022,176355101,5
2022,183606490,4
2022,183606491,5
2022,176355194,5
2022,165998273,4
2022,176355082,5
2022,176355083,5
2022,178016852,4
2022,165997590,4
2022,165998525,4
2022,185564999,4
2022,181066449,5
2022,181066450,5
2022,181066510,5
2022,178016837,5
2022,185565041,5
2022,185565042,5
2022,185565043,5
2022,178016918,5
2022,183606809,4
2022,178016761,5
2022,185565068,5
2022,165997589,5
2022,165998110,5
2022,185565069,5
2022,185565070,5
2022,178016747,5
2022,181066710,4
2022,178016759,4
2022,181066469,4
2022,181066627,5
2022,181066438,5
2022,181066439,5
2022,178016770,5
2022,185565017,4
2022,178016718,4
2022,178016829,5
2022,178016877,4
2022,178016935,4
2022,178016805,5
2022,178016899,5
2022,179547519,5
2022,181066451,5
2022,178016992,5
2022,178017103,5
2022,178016916,5
2022,178016917,5
2022,178017001,5
2022,178016895,6
2022,181066429,4
2022,181066430,4
2022,178016972,4
2022,178016973,5
2022,187751225,4
2022,183606641,4
2022,178017023,5
2022,178017024,5
2022,185565050,5
2022,178016968,5
2022,178016969,5
2022,178016900,4
2022,178017000,4
2022,183606608,5
2022,183606609,5
2022,179547577,4
2022,179547729,5
2022,179547730,5
2022,178016977,4
2022,179547589,5
2022,179547754,4
2022,179547755,4
2022,183606732,2
2022,183606733,5
2022,179547581,6
2022,179547554,4
2022,165997884,5
2022,179547681,5
2022,165997785,5
2022,165997786,4
2022,179547593,5
2022,179547526,5
2022,183606598,4
2022,183606623,5
2022,179547736,4
2022,179547737,5
2022,179547757,5
2022,179547758,5
2022,179547714,4
2022,179547715,5
2022,179547584,5
2022,179547668,5
2022,179547514,5
2022,179547640,4
2022,181066593,5
2022,181066594,5
2022,183606860,3
2022,165998033,5
2022,179547684,4
2022,179547580,5
2022,165997972,5
2022,165997973,5
2022,179547667,5
2022,179547717,5
2022,179547718,5
2022,183606573,5
2022,183606779,4
2022,183606780,4
2022,183606781,2
2022,183606782,5
2022,181066636,4
2022,183606856,4
2022,183606857,5
2022,181066427,4
2022,183606537,5
2022,183606538,4
2022,183606539,5
2022,181066565,5
2022,181066566,5
2022,181066515,4
2022,181066623,4
2022,183606511,5
2022,183606512,5
2022,181066512,4
2022,181066660,4
2022,181066661,4
2022,183606743,4
2022,185565016,4
2022,187751239,5
2022,181066656,5
2022,181066657,4
2022,181066432,4
2022,181066511,5
2022,183606826,5
2022,181066601,5
2022,181066602,5
2022,181066603,4
2022,181066604,4
2022,181066557,5
2022,181066558,5
2022,181066739,5
2022,181066740,5
2022,185565063,5
2022,185565064,5
2022,183606378,5
2022,183606379,5
2022,181066424,5
2022,185565124,5
2022,185565198,5
2022,183606563,5
2022,183606564,5
2022,183606565,5
2022,183606566,5
2022,183606567,5
2022,181066714,5
2022,183606747,5
2022,183606748,5
2022,183606582,4
2022,183606837,4
2022,183606838,4
2022,183606839,5
2022,183606688,4
2022,183606689,5
2022,183606842,4
2022,183606843,4
2022,181066472,5
2022,181066473,5
2022,181066474,5
2022,183606807,5
2022,185565039,5
2022,183606555,5
2022,181066610,5
2022,181066611,5
2022,183606357,4
2022,166008269,5
2022,165998244,5
2022,165997692,5
2022,166008270,5
2022,165998242,1
