data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,50229578,,51
2022,46280731,,51
2022,46280732,,51
2022,46280733,,51
2022,46280734,,51
2022,46305874,,51
2022,46305873,,51
2022,47193130,,51
2022,47193131,,51
2022,47193128,,51
2022,47193129,,51
2022,47394951,,51
2022,47394949,,51
2022,47747850,,51
2022,48472178,,51
2022,48472177,,51
2022,48861130,,51
2022,48861131,,51
2022,49220391,,51
2022,46245921,,51
2022,46245919,,51
2022,46245920,,51
2022,46245923,,51
2022,46245917,,4
2022,46245924,,51
2022,46245916,,51
2022,46245918,,51
2022,46245930,,51
2022,46245927,,51
2022,46245937,,51
2022,46245939,,51
2022,46245926,,51
2022,46245936,,51
2022,46245938,,51
2022,46245935,,51
2022,46245934,,51
2022,46245933,,51
2022,46245928,,51
2022,46245925,,51
2022,46245931,,51
2022,46343819,,51
2022,46343820,,51
2022,46343822,,51
2022,46343827,,51
2022,46343828,,51
2022,46343821,,51
2022,46343823,,51
2022,46343824,,51
2022,46343829,,51
2022,46343825,,51
2022,46343826,,51
2022,46623301,,51
2022,46623304,,51
2022,46623303,,51
2022,46623302,,51
2022,46623305,,51
2022,46623306,,51
2022,46966795,,51
2022,46966785,,51
2022,46966792,,51
2022,46966793,,51
2022,46966780,,51
2022,46966790,,51
2022,46966794,,51
2022,46966796,,51
2022,46966782,,51
2022,46966781,,51
2022,46966787,,51
2022,46966789,,51
2022,46966784,,51
2022,46966788,,51
2022,46966791,,4
2022,46966779,,51
2022,47342646,,51
2022,47342642,,51
2022,47342647,,51
2022,47342658,,4
2022,47342654,,51
2022,47342641,,51
2022,47342656,,51
2022,47342649,,51
2022,47342644,,51
2022,47342653,,51
2022,47342643,,51
2022,47342652,,52
2022,47743887,,51
2022,47743893,,51
2022,47743891,,51
2022,47743885,,51
2022,47743886,,51
2022,47743880,,51
2022,47743894,,51
2022,47743881,,51
2022,47743884,,51
2022,47743883,,51
2022,47743892,,51
2022,47743890,,51
2022,47743888,,51
2022,47743889,,51
2022,48151614,,51
2022,48151615,,51
2022,48151616,,51
2022,48151621,,51
2022,48151613,,51
2022,48151617,,51
2022,49255120,,51
2022,49255066,,3
2022,48151610,,51
2022,48151620,,51
2022,49255115,,51
2022,47344344,,51
2022,48151608,,4
2022,48151606,,4
2022,48151612,,51
2022,48151609,,51
2022,48151618,,51
2022,48151619,,51
2022,47344328,,51
2022,48010452,,51
2022,48151607,,51
2022,49255119,,51
2022,49255045,,51
2022,50229467,,51
2022,48883713,,51
2022,50229515,,51
2022,50704406,,51
2022,48151611,,51
2022,48860669,,51
2022,48860673,,51
2022,48860675,,51
2022,48860676,,51
2022,48860672,,51
2022,48860677,,51
2022,48860678,,51
2022,48860679,,51
2022,48860671,,51
2022,48860668,,51
2022,48860674,,51
2022,48860670,,51
2022,48860686,,51
2022,48860681,,51
2022,48860685,,51
2022,48860684,,51
2022,48860680,,51
2022,48860682,,51
2022,48860683,,51
2022,49228514,,51
2022,49228512,,51
2022,49228510,,51
2022,49228508,,51
2022,49625801,,51
2022,49228513,,51
2022,49228511,,51
2022,49228516,,51
2022,49228517,,51
2022,49228515,,4
2022,49228509,,51
2022,49633636,,51
2022,49633641,,51
2022,49633633,,51
2022,49633639,,51
2022,49633634,,51
2022,49633640,,51
2022,49633642,,51
2022,49633643,,51
2022,49633635,,51
2022,49633638,,51
2022,49633637,,51
2022,49625805,,5
2022,49625806,,1
2022,49625806,,5
2022,50229533,,51
2022,50229520,,51
2022,51269328,,51
2022,46954277,,51
2022,47344381,,51
2022,50704376,,51
2022,48010509,,53
2022,50229594,,51
2022,50229595,,51
2022,50229482,,51
2022,46271281,,51
2022,46271294,,51
2022,50704392,,51
2022,49625743,,51
2022,46369463,,51
2022,50704383,,51
2022,50229584,,51
2022,50704437,,51
2022,50704438,,51
2022,49255043,,51
2022,51269254,,51
2022,50229513,,51
2022,50229474,,51
2022,50229475,,51
2022,50229440,,51
2022,49255110,,51
2022,51269319,,51
2022,49625779,,51
2022,50229480,,51
2022,46627133,,51
2022,49625804,,51
2022,50229486,,51
2022,50229487,,51
2022,49255094,,51
2022,46954305,,51
2022,50229537,,51
2022,50229571,,51
2022,50229550,,51
2022,49255073,,51
2022,49255104,,51
2022,47344357,,51
2022,49255013,,51
2022,48010465,,51
2022,49255096,,51
2022,50229481,,51
2022,49255076,,51
2022,50704382,,51
2022,48010445,,51
2022,49625762,,51
2022,51269373,,51
2022,49255069,,51
2022,50229567,,51
2022,50229568,,51
2022,47344443,,51
2022,50229448,,51
2022,48883677,,51
2022,50229435,,51
2022,49625761,,51
2022,48010446,,51
2022,50229546,,51
2022,48010478,,51
2022,48010479,,51
2022,49625736,,5
2022,49625737,,5
2022,50229449,,51
2022,49255023,,51
2022,50229445,,51
2022,50229529,,51
2022,48010436,,51
2022,49255118,,51
2022,50229456,,51
2022,50229447,,51
2022,49255056,,51
2022,50229459,,51
2022,48495606,,51
2022,50229525,,51
2022,50229451,,51
2022,50229446,,51
2022,50229493,,51
2022,49625769,,3
2022,49625770,,3
2022,50704384,,51
2022,50229504,,51
2022,50229554,,51
2022,50229426,,51
2022,48495590,,51
2022,49625752,,51
2022,49255029,,3
2022,49255030,,3
2022,49255031,,3
2022,48883721,,51
2022,50229505,,51
2022,50229538,,51
2022,50229470,,3
2022,49625725,,51
2022,49625726,,51
2022,50229534,,51
2022,50229503,,51
2022,50229471,,51
2022,48883691,,51
2022,50229535,,51
2022,51269291,,51
2022,48883696,,3
2022,48883697,,3
2022,50704422,,51
2022,49625759,,3
2022,50229499,,51
2022,50229574,,51
2022,50229575,,3
2022,50229466,,51
2022,50704379,,51
2022,50229423,,3
2022,50229489,,51
