data_year,groupb_arrestee_id,weapon_code,weapon_id
2022,45295675,01,51
2022,45539235,01,51
2022,46861575,01,51
2022,45295678,01,51
2022,45539263,01,51
2022,47148067,01,51
2022,48071334,01,51
2022,48071337,01,51
2022,47640722,01,51
2022,47640728,01,51
2022,45539234,01,51
2022,48071342,01,51
2022,47391981,01,51
2022,47640732,01,51
2022,45763065,01,51
2022,45763068,01,51
2022,45763067,01,51
2022,46039477,01,51
2022,46039480,01,51
2022,48071335,01,51
2022,47391988,16,52
2022,47640729,01,51
2022,47640736,01,51
2022,47640721,01,51
2022,47640727,01,51
2022,46528782,01,51
2022,46528781,01,51
2022,48071348,01,51
2022,47640724,01,51
2022,48071347,01,51
2022,48391616,01,51
2022,47640733,01,51
2022,48071340,01,51
2022,47391980,01,51
2022,48071346,01,51
2022,48071336,01,51
2022,47391978,01,51
2022,47391979,01,51
2022,47391983,01,51
2022,47391985,01,51
2022,47640726,01,51
2022,47640730,01,51
2022,45675051,01,51
2022,46355483,01,51
2022,46692423,01,51
2022,46692424,01,51
2022,46876003,01,51
2022,46876004,01,51
2022,47632791,01,51
2022,45267930,01,51
2022,45304495,01,51
2022,45320713,01,51
2022,45320712,01,51
2022,45531692,01,51
2022,45531693,01,51
2022,45945736,01,51
2022,45945737,01,51
2022,45270538,01,51
2022,45270532,01,51
2022,45270534,01,51
2022,45270537,01,51
2022,45270529,01,51
2022,45270536,01,51
2022,45270530,01,51
2022,45270531,01,51
2022,45270533,01,51
2022,45270535,01,51
2022,45270547,01,51
2022,45270543,01,51
2022,45270541,01,51
2022,45270550,01,51
2022,45270544,01,51
2022,45270546,01,51
2022,45270540,01,51
2022,45270545,01,51
2022,45270548,01,51
2022,45270549,01,51
2022,45037448,01,51
2022,45343015,01,51
2022,45343018,01,51
2022,45343020,01,51
2022,45343016,01,51
2022,45343017,01,51
2022,45343019,01,51
2022,45343023,01,51
2022,45343025,01,51
2022,45267931,01,51
2022,45267934,01,51
2022,45267926,01,51
2022,45267927,01,51
2022,45267929,01,51
2022,45267945,01,51
2022,45267928,01,51
2022,45343021,01,51
2022,45343022,01,51
2022,45343024,01,51
2022,45267962,01,51
2022,45267932,01,51
2022,45267955,01,51
2022,45267959,01,51
2022,45267933,01,51
2022,45267942,01,51
2022,45267943,01,51
2022,45267935,01,51
2022,45267950,01,51
2022,45267957,01,51
2022,45267936,01,51
2022,45267949,01,51
2022,45267937,01,51
2022,45267938,01,51
2022,45267940,01,51
2022,45267951,01,51
2022,45267956,01,51
2022,45267944,01,51
2022,45267960,01,51
2022,45267947,01,51
2022,45267952,01,51
2022,45267961,01,51
2022,45510154,01,51
2022,45536955,01,51
2022,45510156,01,51
2022,45510160,01,51
2022,45510167,01,51
2022,45510174,01,51
2022,45510181,01,51
2022,45510182,01,51
2022,45510183,01,51
2022,45510172,01,51
2022,45510164,01,51
2022,45510165,01,51
2022,45510194,01,51
2022,45510145,01,51
2022,45510147,01,51
2022,45510148,01,51
2022,45510180,01,51
2022,45510187,01,51
2022,45510146,01,51
2022,45536953,01,51
2022,45536954,01,51
2022,45536965,01,51
2022,45536957,01,51
2022,45536958,01,51
2022,45536960,01,51
2022,45536963,01,51
2022,45510151,01,51
2022,45510153,01,51
2022,45510169,01,51
2022,45510173,01,51
2022,45510185,01,51
2022,45510188,01,51
2022,45510149,01,51
2022,45510162,01,51
2022,45510163,01,51
2022,45510166,01,51
2022,45510177,01,51
2022,45510178,16,52
2022,45510193,01,51
2022,45510176,01,51
2022,45510191,01,51
2022,45510159,01,51
2022,45536959,01,51
2022,45510175,01,51
2022,45510186,01,51
2022,45510189,01,51
2022,45510192,01,51
2022,45510195,14,7
2022,45510157,01,51
2022,45510158,01,51
2022,45510161,01,51
2022,45510168,01,51
2022,45510170,01,51
2022,45510171,01,51
2022,45510179,01,51
2022,45510184,01,51
2022,45510190,01,51
2022,45710684,01,51
2022,45710698,01,51
2022,45536961,01,51
2022,45536964,01,51
2022,45710709,01,51
2022,45710715,01,51
2022,45710721,01,51
2022,45710723,16,52
2022,45710685,01,51
2022,45710690,01,51
2022,45710702,01,51
2022,45710703,01,51
