data_year,criminal_act_id,offense_id
2022,6,197965297
2022,6,197965415
2022,6,188746235
2022,9,195421232
2022,6,193902222
2022,10,193902112
2022,6,193902113
2022,11,193902210
2022,6,193902211
2022,6,185889306
2022,6,184230694
2022,9,195421160
2022,5,182930383
2022,9,182930538
2022,9,192368049
2022,9,195421332
2022,9,190692745
2022,9,184230913
2022,6,185889285
2022,6,185889286
2022,6,185889614
2022,6,188746104
2022,9,192367973
2022,6,193902220
2022,9,193902048
2022,9,195421173
2022,6,190692814
2022,9,190692867
2022,9,197964948
2022,9,199925745
2022,9,195421132
2022,9,181452496
2022,9,181452499
2022,9,181452498
2022,1,181452502
2022,8,181452503
2022,9,181576584
2022,9,195421267
2022,6,192368237
2022,6,193902203
2022,6,193902003
2022,6,193901997
2022,9,199925613
2022,8,181576582
2022,9,181576586
2022,8,182885112
2022,9,185275134
2022,8,185275128
2022,6,195421275
2022,6,195421290
2022,6,195421291
2022,6,195421292
2022,9,187641057
2022,9,195421133
2022,9,187641045
2022,9,197964894
2022,6,197965441
2022,6,197965442
2022,9,197965445
2022,6,197965249
2022,9,190599648
2022,9,202132014
2022,9,190599647
2022,9,181839534
2022,9,190692812
2022,9,181419104
2022,9,188746211
2022,6,193902185
2022,9,184230689
2022,9,182930583
2022,6,185889493
2022,9,185889682
2022,6,199925521
2022,9,188746283
2022,6,195421221
2022,3,202131818
2022,3,197965476
2022,1,197965477
2022,3,197965477
2022,6,197965478
2022,3,197965079
2022,3,181419134
2022,9,192281526
2022,6,181419135
2022,6,181419136
2022,6,181419182
2022,3,199925569
2022,6,195421087
2022,6,195421088
2022,6,181839596
2022,3,199925534
2022,6,199925546
2022,6,199925547
2022,3,197965448
2022,6,199925686
2022,9,193737216
2022,9,193737215
2022,3,193902045
2022,6,199925585
2022,6,202131831
2022,3,197965161
2022,2,197965061
2022,3,197965061
2022,3,197964950
2022,3,193902198
2022,6,202131993
2022,6,202132090
2022,3,195421203
2022,6,195421203
2022,6,195421204
2022,3,197965073
2022,9,182930471
2022,3,195421288
2022,3,199925725
2022,3,197965088
2022,6,197965088
2022,6,197965089
2022,3,193902162
2022,6,184230809
2022,1,197965256
2022,3,197965256
2022,3,197965390
2022,6,185889689
2022,6,185889293
2022,6,185889294
2022,6,197965311
2022,3,193902125
2022,3,193902181
2022,6,185889400
2022,6,185889401
2022,6,193901969
2022,6,193901970
2022,6,193901971
2022,6,188746136
2022,3,193902167
2022,3,197965074
2022,3,193902129
2022,6,199925531
2022,6,199925532
2022,3,188746092
2022,3,195421153
2022,6,195421153
2022,6,202132109
2022,6,202132110
2022,3,193902118
