data_year,bias_id,offense_id
2022,99,197965297
2022,88,197965415
2022,99,188746235
2022,88,195421232
2022,88,193902222
2022,99,193902112
2022,99,193902113
2022,88,181419131
2022,99,193902210
2022,99,193902211
2022,88,184230910
2022,88,185889306
2022,88,181452496
2022,88,181452500
2022,88,181452501
2022,88,181452499
2022,88,181452497
2022,88,181452498
2022,88,181452502
2022,88,181452505
2022,88,181452504
2022,88,181452503
2022,88,184230694
2022,99,181576584
2022,88,184230695
2022,88,182930485
2022,88,181839494
2022,88,195421160
2022,88,181576582
2022,88,181576583
2022,88,181576586
2022,88,181576585
2022,88,181576581
2022,88,182885112
2022,99,182930383
2022,88,182930538
2022,88,182930493
2022,88,185889727
2022,88,182885113
2022,88,185275130
2022,88,185275129
2022,88,184230894
2022,99,185275133
2022,99,185275134
2022,88,185275128
2022,88,185275131
2022,88,185275132
2022,88,186117494
2022,88,186117491
2022,88,186117496
2022,88,186117488
2022,88,186117489
2022,88,186117492
2022,88,186117486
2022,88,186117487
2022,88,187641056
2022,88,187641042
2022,88,187641043
2022,88,187641049
2022,88,187641050
2022,88,187641044
2022,88,187641057
2022,99,187641045
2022,99,187641046
2022,88,187641048
2022,88,187641058
2022,88,197965231
2022,88,192368049
2022,88,189184004
2022,88,190599649
2022,88,190599648
2022,88,190599647
2022,88,192281525
2022,88,195421332
2022,19,192281526
2022,88,192281529
2022,88,192281527
2022,88,193737214
2022,88,190692745
2022,88,193737216
2022,88,193737217
2022,99,193737215
2022,88,184230889
2022,88,195421180
2022,88,184230913
2022,88,185889358
2022,88,185889285
2022,88,185889286
2022,99,185889614
2022,88,195485339
2022,88,195421024
2022,88,185889309
2022,88,188746104
2022,99,195484884
2022,88,190692861
2022,88,192367892
2022,88,195485449
2022,88,181296580
2022,88,192367893
2022,88,192367894
2022,88,192367973
2022,88,181296584
2022,88,181296581
2022,88,181296593
2022,88,181296594
2022,88,181296583
2022,88,181296573
2022,88,181296576
2022,88,181296589
2022,88,181296588
2022,88,181296570
2022,88,181296571
2022,88,181296591
2022,88,181296592
2022,88,181296567
2022,88,181296578
2022,88,193902220
2022,88,193902048
2022,88,197965037
2022,88,195421173
2022,88,195421242
2022,88,190692814
2022,88,192368258
2022,88,181296587
2022,88,190692867
2022,88,181296572
2022,88,181296585
2022,88,197964948
2022,88,199925682
2022,88,181296605
2022,88,181296601
2022,88,181296618
2022,88,181296621
2022,88,181296622
2022,88,181296625
2022,88,181296599
2022,88,181296616
2022,88,181296617
2022,88,181296614
2022,88,181296619
2022,88,181296620
2022,88,181296613
2022,88,181296624
2022,88,181296612
2022,88,199925745
2022,88,202131832
2022,88,181296596
2022,88,181296610
2022,88,181296609
2022,88,181296602
2022,88,181296603
2022,88,181296606
2022,88,181296598
2022,88,181296626
2022,88,181296607
2022,88,181733304
2022,88,181733305
2022,88,181733308
2022,88,181733317
2022,88,181733311
2022,88,181733314
2022,88,181733315
2022,88,181733309
2022,88,181733312
2022,88,181733302
2022,88,181733310
2022,88,181733316
2022,88,181733318
2022,88,181733303
2022,88,181733313
2022,88,181733307
2022,88,181733306
2022,88,195421132
2022,88,195421267
2022,88,192368237
2022,88,199925587
2022,88,193902203
2022,88,193902204
2022,88,197965300
2022,88,192368231
2022,88,202132094
2022,88,182912571
2022,88,182912581
2022,88,182912570
2022,88,182912577
2022,88,182912558
2022,88,182912565
2022,88,182912572
2022,88,182912566
2022,88,182912580
2022,88,182912567
2022,88,182912557
2022,88,182912564
2022,88,182912561
2022,88,182912562
2022,88,182912559
2022,88,182912560
2022,88,182912574
2022,88,182912569
2022,88,182912578
2022,88,182912579
2022,88,193902003
2022,88,193901997
2022,88,197965169
2022,88,195421329
2022,88,199925613
2022,88,182912568
2022,88,182912575
2022,88,182912573
2022,88,182912556
2022,88,182912576
2022,88,182912563
2022,88,195421275
2022,88,195421290
2022,88,195421291
2022,88,195421292
2022,88,195421133
2022,88,197964894
2022,88,195421216
2022,88,197965441
2022,88,197965442
2022,88,197965445
2022,88,197965249
2022,88,197965190
2022,88,202132014
2022,88,181839534
2022,88,190692812
2022,88,181419104
2022,88,188746211
2022,88,184230830
2022,88,193902185
2022,88,184230689
2022,88,184287159
2022,99,182930583
2022,88,185889493
2022,88,185889682
2022,88,199925521
2022,88,184287135
2022,88,184287138
2022,88,184287147
2022,88,184287129
2022,88,188746283
2022,88,195421221
2022,88,202131818
2022,88,184287156
2022,88,184287136
2022,88,184287154
2022,88,184287131
2022,88,181419160
2022,88,197965476
2022,88,197965477
2022,88,197965478
2022,88,197965079
2022,88,181419134
2022,88,181419135
2022,88,181419136
2022,88,181419182
2022,88,199925569
2022,88,184287155
2022,88,184287118
2022,88,184287149
2022,88,184287163
2022,88,184287164
2022,88,184287157
2022,88,184287158
2022,88,184287161
2022,88,184287162
2022,88,184287120
2022,88,184287119
2022,88,184287145
2022,88,184287146
2022,88,184287140
2022,88,184287128
2022,88,184287148
2022,88,184287126
2022,88,184287127
2022,88,184287143
2022,88,184287144
2022,88,184287150
2022,88,184287151
2022,88,184287152
2022,88,184287117
2022,88,184287122
2022,88,184287133
2022,88,182930380
2022,88,184287123
2022,88,195421086
2022,88,185881432
2022,88,195421087
2022,88,195421088
2022,88,185881417
2022,88,181839596
2022,88,185881452
2022,88,199925534
2022,88,185881387
2022,88,199925546
2022,88,185881434
2022,88,185881373
2022,88,185881374
2022,88,185881375
2022,88,185881429
2022,88,185881408
2022,88,185881414
2022,88,185881391
2022,88,185881428
2022,88,185881462
2022,88,185881458
2022,88,185881459
2022,88,185881456
2022,88,185881435
2022,88,185881440
2022,88,185881441
2022,88,185881431
2022,88,185881410
2022,88,185881425
2022,88,185881368
2022,88,185881450
2022,88,185881413
2022,88,185881398
2022,88,185881399
2022,88,185881394
2022,88,185881380
2022,88,185881439
2022,88,185881370
2022,88,185881445
2022,88,185881378
2022,88,185881405
2022,88,185881402
2022,88,185881424
2022,88,185881443
2022,88,185881444
2022,88,185881418
2022,88,185881448
2022,88,187625377
2022,88,187625392
2022,88,187625394
2022,88,187625395
2022,88,187625388
2022,88,187625389
2022,88,187625368
2022,88,187625376
2022,88,187625381
2022,88,187625378
2022,88,187625375
2022,88,187625400
2022,88,187625383
2022,88,187625398
2022,88,187625384
2022,88,187625369
2022,88,187625385
2022,88,187625404
2022,88,187625403
2022,88,187625402
2022,88,187625370
2022,88,187625371
2022,88,187625393
2022,88,187625374
2022,88,187625373
2022,88,187625390
2022,88,187625396
2022,88,187625397
2022,88,187625379
2022,88,187625386
2022,88,187625391
2022,88,187625382
2022,88,187625380
2022,88,187625387
2022,88,187625399
2022,88,199925547
2022,88,197965448
2022,88,199925686
2022,88,193902045
2022,88,199925585
2022,88,202131831
2022,88,197965161
2022,99,197965061
2022,88,197964950
2022,88,193902198
2022,88,189314380
2022,88,189314381
2022,88,189314391
2022,88,189314384
2022,88,189314351
2022,88,189314389
2022,88,189314390
2022,88,189314393
2022,88,189314361
2022,88,189314383
2022,88,189314385
2022,88,189314379
2022,88,189314355
2022,88,189314362
2022,88,189314363
2022,88,189314392
2022,88,189314386
2022,88,189314353
2022,88,189314373
2022,88,189314388
2022,88,189314364
2022,88,189314365
2022,88,189314374
2022,88,189314354
2022,88,189314356
2022,88,189314357
2022,88,189314358
2022,88,189314378
2022,88,189314372
2022,88,189314370
2022,88,189314377
2022,88,189314368
2022,88,189314395
2022,88,189314396
2022,88,189314359
2022,88,189314352
2022,88,189314366
2022,88,189314367
2022,88,189314387
2022,88,189314369
2022,88,189314394
2022,88,189314360
2022,88,189314382
2022,88,189314375
2022,88,189314376
2022,88,189314371
2022,88,202131993
2022,88,202132090
2022,88,192279191
2022,88,192279178
2022,88,192279174
2022,88,195421202
2022,88,195421203
2022,88,195421204
2022,88,197965073
2022,88,182930471
2022,88,195421288
2022,88,199925725
2022,88,197965088
2022,88,197965089
2022,88,193902162
2022,88,184230809
2022,88,197965256
2022,88,197965390
2022,88,185889689
2022,88,185889293
2022,88,185889294
2022,88,197965311
2022,88,193902125
2022,88,192279185
2022,88,192279173
2022,88,192279196
2022,88,193902181
2022,88,185889400
2022,88,185889401
2022,88,193901969
2022,88,193901970
2022,88,193901971
2022,88,188746136
2022,88,193902167
2022,88,192279183
2022,88,192279198
2022,88,192279199
2022,88,192279189
2022,88,192279193
2022,88,192279175
2022,88,192279201
2022,88,192279184
2022,88,192279200
2022,88,192279192
2022,88,192279181
2022,88,192279182
2022,88,192279176
2022,88,192279177
2022,88,192279190
2022,88,192279179
2022,88,192279180
2022,88,192279172
2022,88,192279197
2022,88,192279194
2022,88,192279202
2022,88,192279195
2022,88,192279186
2022,88,192279187
2022,88,192279188
2022,88,192279224
2022,88,192279218
2022,88,192279211
2022,88,192279222
2022,88,192279206
2022,88,192279207
2022,88,192279208
2022,88,192279223
2022,88,192279214
2022,88,192279219
2022,88,192279220
2022,88,192279221
2022,88,192279216
2022,88,192279204
2022,88,192279203
2022,88,192279215
2022,88,192279225
2022,88,192279217
2022,88,192279205
2022,88,192279209
2022,88,192279210
2022,88,197965074
2022,88,192279212
2022,88,192279213
2022,88,193902129
2022,88,199925531
2022,88,199925532
2022,88,188746092
2022,88,195421152
2022,88,195421153
2022,88,202132109
2022,88,202132110
2022,88,193902118
2022,88,197965380
2022,88,197965381
2022,88,202131849
2022,88,185889701
2022,88,202132115
2022,88,197964980
2022,88,202131850
2022,88,192368126
2022,88,197964928
2022,88,195421149
2022,88,192368037
2022,88,197965223
2022,88,188746094
2022,88,188746095
2022,88,197965283
2022,88,197965284
2022,88,188746187
2022,88,195421054
2022,88,195421055
2022,88,195421056
2022,88,195421057
2022,88,188746234
2022,88,197964984
2022,88,193902002
2022,88,197964970
2022,88,197965241
2022,88,202131897
2022,88,188746068
2022,88,188746069
2022,88,193902218
2022,88,197965013
